Date,USG%,DRB%,ORtg,TOV%,DRtg
2006-01-09,11.3,34.5,34,0.0,106
2005-12-13,8.0,6.5,197,0.0,87
2005-11-15,0.0,27.2, , ,96
2006-03-05,3.0,30.9,209,0.0,103
2006-02-24,18.6,37.1,83,20.5,89
2005-12-21,4.8,7.1,136,0.0,111
2006-01-27,8.0,18.6,0,100.0,103
2006-03-03,100.0,0.0,63,0.0,128
2006-04-01,9.5,22.9,0,100.0,93
2005-12-11,8.4,15.1,97,0.0,105
2006-03-14,3.6,9.5,73,0.0,111
2006-02-27,9.3,12.8,77,33.3,118
2006-02-10,6.8,10.0,99,34.7,104
2006-01-20,8.3,14.5,81,66.7,109
2006-04-05,10.1,29.7,37,50.0,101
2005-11-19,0.0,0.0, , ,108
2006-01-03,5.5,19.3,227,0.0,121
2006-02-21,5.8,0.0,47,100.0,93
2006-01-28,0.0,0.0, , ,111
2006-04-10,3.2,23.9,205,0.0,113
2006-04-12,4.3,41.3,145,0.0,107
2005-11-22,4.0,24.3,0,100.0,102
2006-01-31,19.1,40.3,0,100.0,83
2006-03-19,23.0,31.5,73,50.0,107
