OPS,AVG,CS,H,BB,GIDP,RBI,SO,POS
0.741,0.252,7,107,46,16,56,99,OF
0.461,0.155,4,13,6,0,6,44,RF
0.68,0.285,16,114,26,2,34,58,CF
0.502,0.167,2,9,3,0,5,8,OF
0.748,0.273,1,6,4,0,1,5,CF
0.591,0.226,2,43,19,9,14,22,CF
0.71,0.255,2,14,5,2,0,14,OF
0.705,0.27,5,101,25,3,41,87,CF
0.789,0.272,1,128,45,9,86,119,LF
0.771,0.296,7,130,17,2,73,123,OF
0.619,0.182,6,30,29,2,16,76,RF
0.622,0.237,7,40,22,2,13,49,OF
0.802,0.23,1,14,4,0,12,22,LF
0.689,0.269,1,21,5,0,14,12,OF
0.875,0.346,0,36,9,0,15,28,OF
0.777,0.3,2,87,7,5,39,44,LF
0.521,0.193,3,16,11,0,3,24,RF
0.545,0.226,8,99,18,14,33,123,CF
0.755,0.289,9,125,31,10,50,95,RF
0.777,0.302,11,146,39,4,42,91,CF
0.8,0.281,3,102,30,14,54,81,OF
0.594,0.185,0,15,5,1,11,32,RF
0.57,0.202,6,89,13,8,49,158,OF
0.502,0.16,0,4,2,0,2,10,RF
0.794,0.27,3,91,70,2,29,70,RF
0.621,0.245,6,66,17,4,36,57,OF
0.684,0.255,9,110,35,4,29,108,CF
0.25,0.0,0,0,1,0,0,1,CF
0.826,0.278,6,63,21,3,35,65,CF
0.658,0.212,0,11,2,1,6,14,OF
