YEAR,GS,G,SLG,VORP,PPF,PA,oppAVG
2011,0,8,0.37,0.4,109,34,0.262
2011,0,15,0.673,-3.8,105,62,0.249
2011,0,10,0.474,0.5,103,47,0.255
2011,27,28,0.384,9.8,106,704,0.26
2011,0,43,0.288,3.4,108,158,0.254
2011,0,7,0.844,-4.6,105,37,0.255
2011,1,26,0.375,-3.6,97,137,0.254
2011,33,33,0.331,9.6,96,884,0.249
2011,33,33,0.35,29.6,98,975,0.261
2011,0,1,0.0,2.1,112,1,0.235
2011,0,12,0.482,0.2,102,65,0.263
2011,0,29,0.449,-8.2,91,163,0.254
2011,0,66,0.395,-3.2,105,225,0.259
2011,0,20,0.486,1.6,104,83,0.266
2011,7,7,0.733,-9.5,92,146,0.264
2011,24,27,0.462,-6.8,96,631,0.257
2011,0,53,0.345,-0.3,97,200,0.251
2011,0,52,0.389,-0.9,92,333,0.245
2011,0,6,0.414,0.8,102,31,0.27
2011,31,31,0.429,13.7,109,835,0.257
2011,0,62,0.339,3.1,96,242,0.26
2011,0,13,0.393,-2.7,99,38,0.262
2011,3,4,0.357,3.5,103,82,0.252
2011,0,18,0.317,0.3,95,96,0.258
2011,25,27,0.442,-6.6,96,633,0.261
2011,0,8,0.4,0.0,109,19,0.264
2011,0,63,0.347,8.8,98,231,0.261
2011,26,27,0.461,-9.1,99,660,0.256
2011,11,12,0.488,3.8,105,305,0.261
2011,0,3,0.5,-0.8,82,12,0.252
2011,0,31,0.505,-5.5,98,139,0.25
2011,0,10,0.407,0.5,102,59,0.274
2011,0,66,0.3,5.2,89,282,0.253
2011,0,4,0.375,-1.7,95,18,0.262
2011,0,12,0.545,-0.9,100,56,0.233
2011,0,55,0.377,4.7,108,303,0.257
2011,0,39,0.274,3.8,95,213,0.256
2011,0,54,0.412,9.0,110,218,0.261
2011,0,65,0.333,15.7,104,253,0.263
2011,0,15,0.549,-3.0,96,56,0.249
2011,0,42,0.326,2.6,108,164,0.262
2011,0,71,0.343,5.3,102,257,0.264
2011,3,24,0.414,1.8,110,265,0.261
2011,30,30,0.39,7.4,94,775,0.25
2011,30,31,0.388,20.1,104,798,0.258
2011,12,12,0.445,-8.9,95,263,0.25
