Pos Summary,Rfield,WAA,Rpos,dWAR,waaWL%,Rrep,RAR
9/8D7,3,-0.6,-1,0.1,.488,5,-2
4,-2,-0.8,1,-0.1,.472,4,-5
7D/98,-2,-1.0,-3,-0.5,.484,7,-3
8/9,5,0.7,1,0.6,.513,8,14
1,0,0.0,0,0.0,.501,0,0
1,0,0.0,0,0.0,.501,0,0
45D,-1,0.8,0,-0.1,.508,11,19
D/3,-0,-0.1,-1,-0.1,.496,2,1
/9,0,-0.5,-0,-0.0,.442,1,-4
5/4D,1,-0.8,0,0.1,.477,3,-5
*6/D,10,0.6,7,1.7,.505,18,24
/1,0,0.0,0,0.0,.500,0,0
/4,1,0.0,0,0.1,.515,0,0
/1,0,0.0,0,0.0,.500,0,0
1,0,0.0,0,0.0,.501,0,0
1,0,0.0,0,0.0,.501,0,0
/1,0,0.0,0,0.0,.501,0,0
/1,0,0.0,0,0.0,.500,0,0
1,0,0.0,0,0.0,.501,0,0
*53/D,7,1.4,1,0.8,.510,22,36
/D73,0,-0.2,-1,-0.0,.484,1,-1
1,0,0.0,0,0.0,.500,0,0
4687/93D,10,0.1,2,1.2,.501,11,11
*2,0,-1.4,6,0.6,.487,13,-2
*97/8D,11,1.3,-5,0.7,.510,14,26
/1,0,0.0,0,0.0,.500,0,0
/1,0,0.0,0,0.0,.500,0,0
*87/D9,4,0.5,0,0.5,.503,20,24
1,0,-0.0,0,0.0,.500,0,-0
1,0,0.0,0,0.0,.500,0,0
