Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Jose Garcia,Gre,19,80,15,19,2,1,3,11,5,1,8,15,0.238,0.308,0.4,0.708
Carl Crawford,GCL,5,14,2,3,1,0,0,0,0,1,5,4,0.214,0.421,0.286,0.707
Deven Marrero,Low,7,31,3,9,0,0,1,1,1,1,1,7,0.29,0.313,0.387,0.7
Jose Colorado,GCL,8,30,4,9,1,0,0,4,4,1,1,3,0.3,0.364,0.333,0.697
Reynaldo Rodriguez,Por,19,67,7,16,6,0,1,6,0,2,6,19,0.239,0.32,0.373,0.693
Aneury Tavarez,Low,8,29,5,8,1,0,1,2,1,1,0,9,0.276,0.276,0.414,0.69
Ryan Dent,Por,14,51,9,13,2,0,1,6,1,0,6,9,0.255,0.333,0.353,0.686
Josh Kroeger,Paw,15,54,6,11,4,0,2,10,0,1,7,10,0.204,0.286,0.389,0.675
Jason Thompson,Low,6,14,3,4,0,0,0,1,1,0,2,4,0.286,0.389,0.286,0.675
Matthew Gedman,Low,10,38,5,10,0,0,1,4,1,0,4,4,0.263,0.333,0.342,0.675
Lucas LeBlanc,SalGre,17,61,10,14,2,0,2,10,2,1,4,19,0.23,0.294,0.361,0.655
Sean Coyle,Sal,23,84,14,21,8,0,0,7,2,0,4,24,0.25,0.308,0.345,0.653
Drew Hedman,PorSal,15,43,7,8,1,0,1,4,2,0,10,11,0.186,0.352,0.279,0.631
Cody Koback,Gre,13,49,5,13,1,0,0,5,5,1,5,14,0.265,0.345,0.286,0.631
Mike Miller,Low,6,23,6,6,0,0,0,2,3,0,4,6,0.261,0.37,0.261,0.631
Seth Schwindenhammer,Low,5,18,3,2,0,1,1,3,0,0,3,6,0.111,0.238,0.389,0.627
Aneudis Peralta,DSL,18,64,10,13,5,0,0,6,0,0,10,10,0.203,0.338,0.281,0.619
Kevin Mager,GCL,6,21,2,5,1,0,0,4,0,0,2,3,0.238,0.333,0.286,0.619
Derrik Gibson,Por,22,77,10,18,2,2,0,6,5,0,8,18,0.234,0.306,0.312,0.618
Kevin Segovia,DSL,9,24,5,5,1,0,0,3,0,0,5,12,0.208,0.367,0.25,0.617
Jake Davies,GCL,9,29,7,4,2,0,1,1,1,0,7,4,0.138,0.306,0.31,0.616
Oscar Tejeda,Por,15,62,5,14,2,0,2,11,0,0,1,9,0.226,0.25,0.355,0.605
Matt Spring,Por,13,47,2,11,1,0,1,5,0,1,3,10,0.234,0.28,0.319,0.599
Osvaldo Almengo,DSL,15,48,7,9,3,1,0,6,0,0,8,15,0.188,0.298,0.292,0.59
Marquez Smith,Por,14,56,4,13,5,0,0,4,0,0,2,9,0.232,0.267,0.321,0.588
