Player,3P%,FT%,ORB,MPG,FGM,3PM,BPG,PF
Gerald Riley,0.393,0.843,1.5,30.7,5.0,1.7,0.2,3.3
Amadou Kilkenny-Diaw,0.0,0.615,0.3,6.7,0.5,0.0,0.2,1.1
Otto Porter,0.355,0.751,1.9,32.5,4.6,0.9,0.9,2.0
Stephen Domingo,0.111,0.4,0.1,5.1,0.3,0.1,0.1,0.5
Riyan Williams,0.0,1.0,0.2,1.2,0.0,0.0,0.1,0.1
Jonathan Wallace,0.433,0.828,0.6,30.6,3.1,1.8,0.0,1.9
Jason Clark,0.363,0.767,1.0,28.9,3.7,1.4,0.2,2.2
Mike Sweetney,0.0,0.738,4.1,32.0,7.8,0.0,3.2,2.8
Tyler Crawford,0.286,0.524,0.4,6.6,0.6,0.3,0.0,0.9
Jeff Green,0.36,0.695,2.1,33.2,4.7,0.9,1.2,2.5
Hollis Thompson,0.44,0.68,1.1,24.6,3.1,1.3,0.4,2.3
Jabril Trawick,0.335,0.71,0.7,22.9,2.1,0.6,0.3,2.4
Paul White,0.377,0.706,0.4,18.4,1.8,0.7,0.6,1.9
Ryan Dougherty,0.0,0.0,0.0,1.5,0.1,0.0,0.0,0.2
John Caprio,0.0,0.409,0.2,3.2,0.2,0.0,0.2,0.6
Victor Samnick,0.0,0.561,1.4,20.1,2.2,0.0,0.6,2.8
Greg Monroe,0.273,0.677,2.1,32.6,5.3,0.1,1.5,2.5
Chris Wright,0.34,0.752,0.4,31.3,4.3,1.2,0.1,2.0
Markel Starks,0.359,0.813,0.3,26.7,3.5,1.3,0.1,1.9
Sead Dizdarevic,0.267,0.769,0.3,4.4,0.3,0.1,0.2,0.5
Marc Egerson,0.293,0.712,0.9,13.5,1.2,0.4,0.0,0.7
Nikita Meshcharakou,0.255,0.562,0.4,12.1,0.8,0.4,0.1,2.1
Trenton Hillier,0.0,0.0,0.0,2.0,0.2,0.0,0.0,0.4
Brandon Bolden,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0
DaJuan Summers,0.353,0.727,1.3,27.6,3.6,1.4,0.6,2.4
Wesley Wilson,0.0,0.571,1.6,15.9,2.7,0.0,1.8,2.4
Vernon Macklin,0.0,0.31,0.8,11.3,1.4,0.0,0.4,1.4
Mikael Hopkins,0.25,0.639,1.4,17.7,1.7,0.0,1.1,2.7
