eFG%,DRtg,Age
.500,94,32-065
 ,92,31-358
1.000,100,31-353
.286,85,32-056
.000,97,31-297
.250,97,32-044
.500,109,31-325
.500,112,32-030
 ,118,31-362
.667,80,32-046
.333,95,32-040
1.000,92,31-290
.000,105,32-089
 ,102,31-318
.000,112,32-009
.333,101,31-289
.000,91,31-310
.333,103,31-308
.333,90,32-028
.714,111,32-082
.667,94,31-316
.250,96,31-302
1.000,93,31-314
.250,107,32-059
1.000,89,32-007
1.000,129,31-345
.500,88,32-049
.400,91,32-019
.250,95,32-036
.750,79,31-305
1.000,92,32-070
.500,106,32-086
.333,97,32-047
.667,78,31-300
.400,84,31-293
.333,107,32-087
.250,104,32-061
.333,123,32-075
.000,120,32-013
.000,85,31-328
1.000,104,32-021
.000,86,32-051
.000,117,31-304
.500,116,32-078
