Batter,Team,AB,H,AVG,2B,3B,HR,RBI,BB,K,SB,CS,SLG,OBP,OPS
Yunel Escobar,WAS,16,3,0.188,0,0,0,0,2,3,0,0,0.188,0.278,0.465
Adam Jones,BAL,14,6,0.429,0,0,0,0,0,3,0,0,0.429,0.429,0.857
J.J. Hardy,BAL,14,5,0.357,1,0,0,1,0,4,0,0,0.429,0.357,0.786
Jose Reyes,COL,12,4,0.333,1,1,0,0,0,1,0,0,0.583,0.333,0.917
Ryan Braun,MIL,12,3,0.25,1,0,1,2,0,2,0,0,0.583,0.25,0.833
Starlin Castro,CHI-N,12,3,0.25,1,0,0,3,1,2,0,1,0.333,0.308,0.641
Kelly Johnson,NY-N,12,3,0.25,0,0,1,1,2,1,0,1,0.5,0.357,0.857
Jayson Werth,WAS,12,3,0.25,1,0,0,2,1,5,0,0,0.333,0.308,0.641
Jeff Francoeur,PHI,12,2,0.167,1,0,0,2,0,3,0,0,0.25,0.167,0.417
Brandon Phillips,CIN,12,2,0.167,0,0,0,0,0,1,0,0,0.167,0.167,0.333
Edwin Encarnacion,TOR,11,5,0.455,2,0,0,3,0,1,0,0,0.636,0.455,1.091
David Wright,NY-N,11,1,0.091,0,0,0,3,0,1,0,0,0.091,0.091,0.182
Aramis Ramirez,PIT,10,5,0.5,1,0,0,3,0,3,0,0,0.6,0.5,1.1
Nelson Cruz,SEA,10,4,0.4,0,1,0,5,0,2,0,0,0.6,0.4,1.0
Russell Martin,TOR,10,3,0.3,0,0,0,0,0,2,0,0,0.3,0.3,0.6
Ryan Zimmerman,WAS,10,3,0.3,1,0,0,0,2,3,0,0,0.4,0.417,0.817
Ian Desmond,WAS,10,2,0.2,1,0,0,1,0,2,0,0,0.3,0.25,0.55
Matt Holliday,STL,10,1,0.1,0,0,0,2,0,6,0,0,0.1,0.1,0.2
Angel Pagan,SF,9,5,0.556,0,1,0,0,0,2,0,0,0.778,0.556,1.333
Martin Prado,MIA,9,5,0.556,0,1,1,2,0,0,0,0,1.111,0.556,1.667
Ryan Hanigan,BOS,9,3,0.333,1,0,0,0,0,1,0,0,0.444,0.333,0.778
Prince Fielder,TEX,9,2,0.222,0,0,1,2,1,1,0,0,0.556,0.3,0.856
Jay Bruce,CIN,9,1,0.111,0,0,1,1,0,4,0,0,0.444,0.111,0.556
Mark Reynolds,STL,9,1,0.111,1,0,0,0,0,6,2,0,0.222,0.111,0.333
Justin Upton,SD,8,6,0.75,1,0,0,3,0,1,0,0,0.875,0.75,1.625
Chipper Jones, ,8,4,0.5,0,0,2,5,0,1,0,0,1.25,0.5,1.75
Evan Longoria,TB,8,3,0.375,0,0,0,0,0,1,1,0,0.375,0.375,0.75
Zack Cozart,CIN,8,2,0.25,0,0,0,1,0,0,0,0,0.25,0.25,0.5
Adam Dunn, ,8,2,0.25,0,0,0,2,0,2,0,0,0.25,0.222,0.472
Raul Ibanez, ,8,2,0.25,0,0,2,2,1,1,0,0,1.0,0.333,1.333
Chase Utley,PHI,8,2,0.25,0,0,0,1,0,2,0,0,0.25,0.25,0.5
Matt Wieters,BAL,8,2,0.25,1,0,0,2,0,2,0,0,0.375,0.25,0.625
Jason Heyward,STL,8,1,0.125,0,0,0,1,2,3,0,0,0.125,0.273,0.398
Omar Infante,KC,8,1,0.125,0,0,0,0,0,0,0,0,0.125,0.125,0.25
