WAA,G,Acquired,Name
0.0,10,Amateur Free Agent,Chin-hui Tsao
-1.3,73,Free Agency,Desi Relaford#
0.5,138,Amateur Draft,Garrett Atkins
0.1,36,Traded,Jose Acevedo
0.0,32,Free Agency,Jay Witasick
-1.2,92,Traded,JD Closser#
-0.0,50,Free Agency,David Cortes
-0.4,4,Waivers,Anderson Machado#
-0.4,139,Amateur Draft,Cory Sullivan*
1.2,125,Amateur Draft,Matt Holliday
-0.9,98,Free Agency,Dustan Mohr
0.0,32,Amateur Draft,Scott Dohmann
0.0,30,Waivers,Randy Williams*
0.1,1,Free Agency,Aquilino Lopez
0.0,5,Traded,Zach Day
0.0,16,Traded,Joe Kennedy
-0.0,2,Waivers,Alfredo Amezaga#
1.5,81,Amateur Draft,Clint Barmes
-0.1,18,Amateur Draft,Choo Freeman
-0.0,3,Amateur Draft,Mike Esposito
0.2,14,Waivers,Michael Restovich
0.0,19,Free Agency,Dan Miceli
