Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Alixon Suarez,DSL,63,226,41,61,15,4,4,28,2,3,39,41,0.27,0.399,0.425,0.824
Manuel Margot,DSL,68,260,49,74,10,7,4,45,33,10,36,25,0.285,0.382,0.423,0.805
Junior Estrella,DSL,14,49,6,14,5,0,0,7,4,2,10,16,0.286,0.407,0.388,0.795
Raymel Flores,DSL,37,138,26,35,3,8,0,18,4,4,23,40,0.254,0.392,0.391,0.783
Roberto Duncan,DSL,62,196,42,43,9,2,5,29,6,2,39,53,0.219,0.379,0.362,0.741
Aneudis Peralta,DSL,61,209,31,52,18,1,0,26,2,3,35,39,0.249,0.369,0.344,0.714
Anthony Amaya,DSL,62,198,28,46,11,1,2,21,10,9,22,38,0.232,0.343,0.328,0.672
Andres Garcia,DSL,69,245,46,55,7,4,0,26,14,9,56,37,0.224,0.373,0.286,0.658
Robert Del Rosario,DSL,67,260,36,62,10,3,3,38,20,5,30,50,0.238,0.316,0.335,0.651
Ricardo Andujar,DSL,48,138,15,31,2,3,0,10,6,5,25,33,0.225,0.361,0.283,0.644
Osvaldo Almengo,DSL,35,96,11,17,3,1,1,15,0,0,9,32,0.177,0.27,0.26,0.531
Kevin Segovia,DSL,17,42,8,7,1,0,0,4,0,0,7,19,0.167,0.314,0.19,0.504
Luis Valenzuela,DSL,9,30,4,4,0,2,0,3,0,0,4,5,0.133,0.235,0.267,0.502
Pablo Urena,DSL,36,119,6,22,4,0,0,7,1,1,7,34,0.185,0.269,0.218,0.487
Gregori Titts,DSL,23,60,9,9,0,0,0,2,3,1,9,14,0.15,0.271,0.15,0.421
Diory Paulino,DSL,2,8,0,1,0,0,0,0,0,0,0,3,0.125,0.125,0.125,0.25
