r,Opponent,3b,a,gdp,hr,avg
9,Saint Mary's,1,16,0,1,0.295
4,Saint Mary's,0,14,0,1,0.297
8,UC Davis,0,8,1,2,0.304
10,CSU Bakersfield,0,15,2,4,0.338
21,Cal St. Northridge,1,12,1,3,0.306
6,Westmont,3,5,1,1,0.324
7,UCLA,0,12,0,3,0.329
3,Long Beach State,0,11,0,0,0.296
7,UC Irvine,0,8,0,1,0.301
14,UC Davis,1,14,1,0,0.304
9,PACIFIC,0,10,0,1,0.305
8,Washington,0,8,1,1,0.313
3,UC Irvine,0,11,0,1,0.3
12,Loyola Marymount,0,17,1,1,0.31
1,Loyola Marymount,0,7,0,0,0.296
7,UC Riverside,0,13,0,2,0.301
15,San Diego State,0,13,1,2,0.301
7,Cal Poly,0,9,0,1,0.299
6,CSU Bakersfield,0,9,0,1,0.302
4,San Jose State,0,24,0,0,0.295
3,Cal State Fullerton,0,11,0,1,0.293
5,Cal Poly,0,13,0,1,0.3
382, ,18,607,22,55,0.3
8,UC Davis,0,13,2,0,0.301
25,Saint Mary's,1,15,1,6,0.309
8,CSU Bakersfield,0,15,0,2,0.302
10,Loyola Marymount,0,10,0,0,0.318
2,Cal St. Northridge,0,7,2,1,0.299
2,Cal State Fullerton,1,11,1,0,0.297
7,Saint Mary's,1,10,2,1,0.297
8,UC Irvine,0,14,0,6,0.301
17,CSU Bakersfield,0,13,0,2,0.3
