Rank,Player,Country,Runs,Balls,Bat-pts,Bb,Rc,W,Bowl-pts,Ct | St,Field-pts,M,Total
1,Shahid Afridi,Pak,91.0,46.0,120.7,168.0,188.0,12.0,227.9,2,32.0,7,380.6
2,DL Vettori,NZ,36.0,20.0,45.3,144.0,128.0,11.0,240.0,2,32.0,6,317.3
3,Umar Gul,Pak,0.0,2.0,-2.7,166.0,155.0,13.0,274.3,3,28.0,7,299.6
4,ML Hayden,Aus,265.0,183.0,286.1, , , , , , ,6,286.1
5,SR Clark,Aus, , , ,144.0,144.0,12.0,240.0,2,24.0,6,264.0
6,ST Jayasuriya,SL,154.0,96.0,180.0,77.0,102.0,4.0,64.6, ,8.0,5,252.7
7,RP Singh,India,1.0,1.0,0.7,144.0,152.0,12.0,232.0,1,20.0,7,252.6
8,AC Gilchrist,Aus,169.0,112.0,188.7, , , , ,9,52.0,6,240.7
9,Shoaib Malik,Pak,195.0,154.0,184.7,18.0,18.0,2.0,38.0,3,12.0,7,234.7
10,Yuvraj Singh,India,148.0,76.0,194.7,18.0,38.0,1.0,2.0,1,36.0,6,232.7
11,Misbah-ul-Haq,Pak,218.0,156.0,228.1, , , , ,1,4.0,7,232.1
12,G Gambhir,India,227.0,175.0,220.7, , , , ,2,8.0,7,228.7
13,CD McMillan,NZ,163.0,90.0,206.0, , , , ,1,12.0,6,218.0
14,IK Pathan,India,34.0,30.0,28.0,132.0,149.0,10.0,187.0, , ,7,215.0
15,KP Pietersen,Eng,178.0,110.0,209.4, , , , ,1,4.0,5,213.4
16,Mohammad Hafeez,Pak,99.0,78.0,94.0,114.0,163.0,5.0,69.0,5,44.0,6,207.0
17,A Flintoff,Eng,70.0,53.0,69.4,108.0,110.0,5.0,114.0,4,16.0,5,199.3
18,Mohammad Asif,Pak,4.0,1.0,6.7,161.0,212.0,10.0,162.6,3,28.0,7,197.3
19,MG Johnson,Aus,14.0,7.0,18.7,144.0,153.0,8.0,167.0,1,4.0,6,189.6
20,JM Kemp,SA,173.0,124.0,180.7, , , , ,2,8.0,5,188.7
21,DPMD Jayawardene,SL,159.0,104.0,179.4, , , , ,2,8.0,5,187.4
22,Shakib Al Hasan,Ban,67.0,56.0,59.4,102.0,116.0,6.0,116.0,1,12.0,5,187.3
23,DL Maddy,Eng,113.0,80.0,119.4,18.0,26.0,3.0,46.0,1,20.0,4,185.4
24,JA Morkel,SA,120.0,86.0,125.4,60.0,77.0,3.0,51.0,2,8.0,5,184.3
25,MS Dhoni,India,154.0,120.0,148.0, , , , ,1,36.0,7,184.0
26,M Morkel,SA,1.0,3.0,-2.0,120.0,120.0,9.0,184.0, , ,5,182.0
27,NW Bracken,Aus,4.0,3.0,4.0,134.0,142.0,8.0,164.6,2,8.0,6,176.6
28,Imran Nazir,Pak,147.0,98.0,163.4, , , , ,3,12.0,7,175.4
29,CH Gayle,WI,117.0,60.0,154.0,24.0,22.0,0.0,10.0,2,8.0,2,172.0
30,B Lee,Aus,17.0,12.0,18.0,144.0,171.0,7.0,133.0,4,16.0,6,167.0
31,SL Malinga,SL,13.0,12.0,10.0,84.0,100.0,7.0,124.0,4,32.0,5,166.0
32,BB McCullum,NZ,139.0,114.0,126.0, , , , ,5|1,36.0,6,162.0
33,Aftab Ahmed,Ban,162.0,125.0,157.4, , , , ,1,4.0,5,161.4
34,Sohail Tanvir,Pak,12.0,4.0,18.7,138.0,161.0,6.0,119.0,1,4.0,6,141.6
35,A Symonds,Aus,107.0,71.0,119.4,71.0,115.0,1.0,-4.4,2,24.0,6,139.0
36,RL Taylor,NZ,118.0,85.0,122.7, , , , ,4,16.0,6,138.7
37,E Chigumbura,Zim,12.0,8.0,13.3,42.0,51.0,7.0,117.0,2,8.0,2,138.3
38,SM Pollock,SA,16.0,13.0,14.7,117.0,167.0,8.0,117.0,1,4.0,5,135.6
39,S Sreesanth,India,20.0,13.0,22.7,138.0,183.0,6.0,97.0,2,16.0,7,135.6
40,WPUJC Vaas,SL,33.0,41.0,11.3,108.0,100.0,5.0,124.0, , ,5,135.3
41,BRM Taylor,Zim,107.0,84.0,102.0, , , , ,2|1,32.0,2,134.0
42,CRD Fernando,SL,0.0,2.0,-2.7,102.0,104.0,6.0,128.0, ,8.0,5,133.3
43,SE Bond,NZ,11.0,13.0,4.7,144.0,180.0,7.0,124.0,1,4.0,6,132.6
44,Abdur Razzak,Ban,7.0,19.0,-11.3,114.0,121.0,7.0,143.0, , ,5,131.6
45,J Mubarak,SL,105.0,62.0,127.4,2.0,8.0,0.0,-5.3,2,8.0,5,130.0
46,Harbhajan Singh,India,8.0,10.0,2.7,138.0,182.0,7.0,114.0,3,12.0,7,128.6
47,V Sehwag,India,133.0,96.0,138.0,6.0,20.0,0.0,-12.0, , ,6,126.0
48,HH Gibbs,SA,110.0,77.0,117.4, , , , ,1,4.0,3,121.4
49,JJ van der Wath,SA,11.0,11.0,7.3,120.0,150.0,6.0,106.0, ,8.0,5,121.3
50,Younis Khan,Pak,127.0,118.0,96.7, , , , ,6,24.0,7,120.7
51,RV Uthappa,India,113.0,100.0,92.7, , , , ,1,28.0,7,120.7
52,TM Dilshan,SL,65.0,53.0,59.4,33.0,36.0,2.0,40.0,3,20.0,5,119.3
53,SB Styris,NZ,70.0,59.0,61.4,66.0,74.0,2.0,46.0,1,12.0,6,119.3
54,RP Sharma,India,88.0,61.0,94.7, , , , ,1,20.0,4,114.7
55,KC Sangakkara,SL,104.0,99.0,76.0, , , , ,2|2,32.0,5,108.0
56,L Vincent,NZ,117.0,116.0,79.4, , , , ,1,28.0,6,107.4
57,Mohammad Ashraful,Ban,87.0,48.0,110.0,48.0,86.0,1.0,-6.0, , ,5,104.0
58,CP Schofield,Eng,24.0,20.0,21.3,77.0,92.0,4.0,74.6,1,4.0,4,100.0
59,OA Shah,Eng,103.0,81.0,98.0, , , , , , ,5,98.0
60,MR Gillespie,NZ,10.0,16.0,-1.3,119.0,156.0,6.0,98.6, , ,6,97.3
61,PD Collingwood,Eng,86.0,65.0,85.4,42.0,82.0,2.0,6.0,1,4.0,5,95.3
62,GC Smith,SA,94.0,78.0,84.0,6.0,16.0,0.0,-8.0,4,16.0,5,92.0
63,MV Boucher,SA,88.0,93.0,52.0, , , , ,7,36.0,5,88.0
64,BJ Hodge,Aus,82.0,61.0,82.7,12.0,20.0,0.0,-4.0,2,8.0,6,86.7
65,VD Philander,SA,8.0,12.0,0.0,78.0,104.0,4.0,64.0,1,20.0,5,84.0
66,JDP Oram,NZ,92.0,60.0,104.0,78.0,146.0,1.0,-26.0,1,4.0,6,82.0
67,CS Martin,NZ, , , ,90.0,114.0,4.0,70.0,1,12.0,4,82.0
68,Kamran Akmal,Pak,44.0,39.0,36.0, , , , ,3|1,44.0,7,80.0
69,V Sibanda,Zim,52.0,40.0,50.7, , , , ,1,28.0,2,78.7
70,AD Mascarenhas,Eng,19.0,17.0,15.3,84.0,122.0,4.0,54.0,2,8.0,5,77.3
71,Junaid Siddique,Ban,71.0,49.0,76.7, , , , , , ,1,76.7
72,Yasir Arafat,Pak,44.0,24.0,56.0,54.0,72.0,1.0,16.0,1,4.0,3,76.0
73,LPC Silva,SL,70.0,61.0,58.7,12.0,11.0,0.0,5.0,1,12.0,5,75.7
74,VS Solanki,Eng,67.0,56.0,59.4, , , , ,2,16.0,2,75.4
75,JM Anderson,Eng, , , ,90.0,102.0,3.0,66.0, ,8.0,4,74.0
76,Mahmudullah,Ban,17.0,17.0,11.3,48.0,47.0,2.0,49.0,1,12.0,2,72.3
77,MJ Prior,Eng,69.0,62.0,55.4, , , , ,4,16.0,3,71.4
78,WU Tharanga,SL,74.0,60.0,68.0, , , , , , ,5,68.0
79,PG Fulton,NZ,77.0,73.0,56.7, , , , ,2,8.0,5,64.7
80,H Masakadza,Zim,54.0,51.0,40.0,6.0,9.0,1.0,15.0,2,8.0,2,63.0
81,Syed Rasel,Ban,7.0,9.0,2.0,102.0,123.0,3.0,61.0, , ,5,63.0
82,MEK Hussey,Aus,65.0,60.0,50.0, , , , ,3,12.0,6,62.0
83,AB de Villiers,SA,50.0,47.0,37.3, , , , ,6,24.0,5,61.3
84,Mushfiqur Rahim,Ban,14.0,18.0,4.0, , , , ,4|3,56.0,5,60.0
85,CM Wright,Scot,14.0,18.0,4.0,24.0,29.0,3.0,51.0,1,4.0,2,59.0
86,DS Smith,WI,86.0,86.0,57.4, , , , , , ,2,57.4
87,RR Sarwan,WI,17.0,15.0,14.0,12.0,10.0,2.0,38.0,1,4.0,2,56.0
88,JD Nel,Scot,13.0,7.0,16.7,24.0,25.0,2.0,39.0, , ,2,55.7
89,KD Karthik,India,28.0,22.0,26.7, , , , ,3|2,28.0,4,54.7
90,Joginder Sharma,India, , , ,87.0,138.0,4.0,42.0,3,12.0,4,54.0
91,P Utseya,Zim,13.0,10.0,12.7,48.0,55.0,2.0,41.0, , ,2,53.7
92,DF Watts,Scot,46.0,35.0,45.3, , , , ,2,8.0,2,53.3
93,SCJ Broad,Eng,5.0,7.0,0.7,114.0,184.0,5.0,48.0,1,4.0,5,52.6
94,GB Brent,Zim, , , ,42.0,53.0,2.0,35.0, ,16.0,2,51.0
95,JP Duminy,SA,36.0,32.0,29.3, , , , ,1,20.0,2,49.3
96,S Chanderpaul,WI,48.0,41.0,41.3, , , , ,1,4.0,2,45.3
97,TM Odoyo,Kenya,18.0,26.0,1.3,36.0,36.0,2.0,44.0, , ,2,45.3
98,LJ Wright,Eng,43.0,37.0,36.7, , , , ,2,8.0,5,44.7
99,RT Ponting,Aus,61.0,65.0,35.4, , , , ,2,8.0,4,43.4
100,CJ Chibhabha,Zim,20.0,22.0,10.7,36.0,41.0,1.0,23.0,2,8.0,2,41.7
101,Mashrafe Mortaza,Ban,35.0,35.0,23.3,106.0,160.0,2.0,13.3,1,4.0,5,40.6
102,M Ntini,SA,4.0,2.0,5.3,72.0,109.0,2.0,19.0, ,16.0,4,40.3
103,JAR Blain,Scot,0.0,1.0,-1.3,24.0,23.0,2.0,41.0, , ,2,39.7
104,Fawad Alam,Pak, , , ,18.0,29.0,2.0,27.0,1,12.0,1,39.0
105,JK Kamande,Kenya,18.0,23.0,5.3,24.0,48.0,3.0,32.0, , ,2,37.3
106,MN Samuels,WI,33.0,18.0,42.0,12.0,21.0,0.0,-5.0, , ,2,37.0
107,MJ Clarke,Aus,3.0,4.0,0.7,42.0,72.0,2.0,16.0,4,16.0,5,32.7
108,G Wijekoon,SL,1.0,5.0,-4.7,66.0,101.0,2.0,19.0, ,16.0,3,30.3
109,YK Pathan,india,15.0,8.0,19.3,6.0,5.0,0.0,3.0,1,4.0,1,26.3
110,R Rampaul,WI, , , ,48.0,87.0,3.0,25.0, , ,2,25.0
111,DR Smith,WI,30.0,11.0,45.3,12.0,37.0,0.0,-21.0, , ,2,24.3
112,SR Watson,Aus, , , ,20.0,19.0,1.0,23.7, , ,1,23.7
113,CJO Smith,Scot,11.0,7.0,12.7, , , , ,0|1,8.0,2,20.7
114,AB Agarkar,India,15.0,11.0,15.3,48.0,75.0,1.0,5.0, , ,3,20.3
115,Tamim Iqbal,Ban,56.0,78.0,8.0, , , , ,1,12.0,5,20.0
116,CT Tremlett,Eng, , , ,24.0,45.0,2.0,19.0, , ,1,19.0
117,T Mupariwa,Zim, , , ,30.0,45.0,1.0,11.0, ,8.0,2,19.0
118,JS Patel,NZ,0.0,1.0,-1.3,41.0,69.0,2.0,17.7, , ,2,16.3
119,Nadif Chowdhury,Ban,17.0,16.0,12.7, , , , , , ,2,12.7
120,MF Maharoof,SL,0.0,2.0,-2.7,30.0,50.0,1.0,6.0, ,8.0,2,11.3
121,CO Obuya,Kenya,20.0,28.0,2.7, , , , , ,8.0,2,10.7
122,D Ramdin,WI,8.0,7.0,6.7, , , , ,1,4.0,2,10.7
123,FH Edwards,WI, , , ,36.0,54.0,1.0,10.0, , ,2,10.0
124,RM Haq,Scot,14.0,31.0,-13.3,24.0,49.0,2.0,15.0,2,8.0,2,9.7
125,A Nel,SA, , , ,24.0,23.0,0.0,9.0, , ,1,9.0
126,Salman Butt,Pak,74.0,105.0,8.0, , , , , , ,5,8.0
127,GM Hamilton,Scot,2.0,4.0,-1.3, , , , ,1,4.0,2,2.7
128,MA Ouma,Kenya,0.0,5.0,-6.7, , , , , ,8.0,2,1.3
129,A Obanda,Kenya,25.0,37.0,0.7, , , , , , ,2,0.7
130,NS Poonia,Scot,4.0,6.0,0.0, , , , , , ,2,0.0
131,S Matsikenyeri,Zim,5.0,14.0,-8.7, , , , ,2,8.0,2,-0.7
132,JN Snape,Eng,7.0,11.0,-0.7,6.0,12.0,0.0,-4.0,1,4.0,1,-0.7
133,T Mishra,Kenya,16.0,25.0,-1.3, , , , , , ,2,-1.3
134,RR Watson,Scot,2.0,4.0,-1.3, , , , , , ,2,-1.3
135,DBL Powell,WI,1.0,1.0,0.7,42.0,62.0,0.0,-6.0,1,4.0,2,-1.3
136,RL Bhudia,Kenya,11.0,9.0,10.0,4.0,17.0,0.0,-11.7, , ,1,-1.7
137,NFI McCallum,Scot,0.0,2.0,-2.7, , , , , , ,2,-2.7
