SB,Age,Inn,E,RF/9,Ch,A,RF/G
4,23,98.2,1,1.37,16,14,0.75
0,32,3.2,0,0.00,0,0,0.00
0,25,61.0,1,1.77,13,6,1.09
0,27,5.0,0,0.00,0,0,0.00
5,31,49.2,1,1.81,11,7,0.36
11, ,152,1,1.54,27,18,0.40
4,22,93.1,1,0.96,11,9,0.56
0,28,20.0,0,1.35,3,3,1.00
1,22,20.1,0,0.89,2,1,0.25
2,26,91.2,0,1.57,16,13,0.70
15,26,139.2,1,0.97,16,9,0.63
3,24,54.2,0,1.81,11,5,0.20
2,32,26.1,0,3.08,9,7,0.30
19,25,203.1,2,1.37,33,24,0.97
5,33,17.2,0,4.58,9,5,0.36
0,36,62.1,1,1.88,14,12,1.08
0,29,12.2,0,0.00,0,0,0.00
7,26,55.2,0,1.13,7,6,0.11
0,23,20.2,0,1.74,4,2,0.21
0,30,15.2,0,1.15,2,2,0.12
1,26,13.1,0,2.70,4,2,1.33
0,25,12.2,0,0.71,1,1,0.08
18,28,186.0,1,1.50,32,24,1.00
6,27,36.0,0,1.50,6,1,0.17
1,21,65.0,0,0.83,6,3,0.50
6,34,40.1,1,0.89,5,3,0.10
0,26,7.1,0,2.45,2,1,0.20
0,25,1.0,0,0.00,0,0,0.00
1,31,16.0,0,3.38,6,4,0.60
10,26,84.0,2,1.18,13,9,0.26
7,38,71.1,0,1.51,12,8,0.21
4,31,32.1,0,1.67,6,4,0.21
1,23,29.1,0,1.23,4,3,0.57
3,33,71.0,0,2.03,16,9,0.89
0,25,3.1,0,2.70,1,0,0.33
2,23,14.1,0,1.26,2,2,0.33
1,22,4.0,0,2.25,1,0,0.33
0,34,22.1,0,1.21,3,1,0.38
13,34,198.2,0,1.59,35,26,1.13
8,20,170.2,2,1.90,38,25,1.16
3,34,10.1,0,1.74,2,1,0.10
0,27,7.1,0,1.23,1,1,0.14
7,31,160.2,2,1.18,23,10,0.57
6,31,67.1,0,0.53,4,3,0.05
10,29,42.0,0,2.14,10,7,0.83
0,28,25.0,1,0.72,3,1,0.13
23,25,214.0,4,1.14,31,11,0.82
2,24,43.2,0,0.62,3,3,0.07
5,27,86.1,3,2.50,27,18,0.50
6,31,57.2,0,1.25,8,5,0.13
2,27,71.1,0,0.88,7,5,0.10
0,25,4.1,0,0.00,0,0,0.00
1,26,10.1,0,0.00,0,0,0.00
2,34,11.0,0,0.82,1,1,0.11
27,31,131.2,0,1.16,17,8,0.71
7,28,55.1,0,1.46,9,4,0.15
5,27,219.2,2,1.68,43,25,1.24
4,26,70.0,1,1.80,15,10,0.22
1,25,14.0,0,0.64,1,1,0.10
13,28,230.0,0,1.21,31,28,0.91
0,25,136.2,3,1.38,24,15,0.95
9,30,78.2,0,1.26,11,7,0.15
0,28,15.1,0,0.59,1,0,0.07
0,28,12.0,0,2.25,3,0,0.38
7,39,55.2,1,1.62,11,7,0.18
6,40,57.0,0,0.16,1,0,0.01
1,32,2.1,0,3.86,1,1,0.33
5,25,80.1,0,1.01,9,7,0.29
7,28,59.1,0,1.06,7,5,0.58
9,30,200.0,1,1.58,36,25,1.06
12,27,205.2,1,2.10,49,23,1.45
4,35,28.1,1,2.54,9,5,0.19
0,24,2.1,1,3.86,2,1,0.33
20,23,238.2,1,2.00,54,24,1.56
5,31,57.2,0,1.25,8,8,0.12
4,29,49.1,1,0.18,2,0,0.02
3,32,41.1,0,0.44,2,1,0.05
3,29,73.1,0,2.82,23,13,0.33
6,28,77.1,1,2.91,26,16,0.47
0,27,1.0,0,0.00,0,0,0.00
23,32,207.0,3,1.09,28,20,0.76
1,26,12.1,0,2.92,4,3,0.67
0,30,18.0,0,1.00,2,2,0.12
1,32,4.1,0,4.15,2,1,0.40
4,34,30.2,0,0.88,3,1,0.10
1,32,93.1,1,2.41,26,23,0.51
8,23,128.1,1,1.54,23,17,0.96
9,31,41.0,0,0.88,4,3,0.50
7,30,61.0,1,1.03,8,6,0.16
8,24,72.0,1,2.12,18,15,0.55
1,31,11.2,1,3.09,5,2,0.29
1,25,12.2,0,0.71,1,1,0.09
2,27,39.0,0,0.69,3,3,0.07
1,22,18.2,1,1.45,4,3,0.50
0,28,6.0,0,0.00,0,0,0.00
2,25,66.1,0,1.63,12,7,0.26
2,30,10.1,0,1.74,2,1,0.29
0,24,1.0,0,0.00,0,0,0.00
0,38,9.0,0,0.00,0,0,0.00
15,28,154.0,0,1.99,34,24,1.31
2,24,16.1,0,2.76,5,4,0.38
0,27,12.0,0,0.00,0,0,0.00
2,26,80.0,2,0.90,10,5,0.11
2,39,25.1,0,2.13,6,5,0.29
0,30,12.0,1,2.25,4,2,0.38
0,28,5.1,0,0.00,0,0,0.00
2,32,75.2,0,1.90,16,10,0.22
2,27,64.1,1,2.52,19,11,1.50
14,26,193.0,1,1.45,32,21,1.03
4,27,92.1,0,1.46,15,12,0.29
7,27,38.1,0,2.11,9,8,1.13
4,40,41.2,0,0.22,1,0,0.02
6,23,33.1,0,0.27,1,1,0.03
6,24,92.0,1,1.57,17,8,1.00
4,34,66.2,0,0.68,5,5,0.42
9,26,240.0,2,1.27,36,20,0.97
8,22,138.1,5,1.17,23,13,0.55
4,27,48.0,1,1.88,11,9,0.19
5,24,27.2,1,1.63,6,3,0.83
1,26,9.0,1,1.00,2,1,0.13
6,24,17.0,0,1.06,2,2,0.40
0,25,3.2,1,0.00,1,0,0.00
1,33,46.2,0,2.51,13,9,0.27
18,24,200.1,2,1.80,42,33,1.25
3,29,78.2,0,2.97,26,16,0.40
1,36,36.2,0,0.49,2,2,0.33
1,33,55.0,0,1.15,7,6,0.11
3,35,40.0,0,0.22,1,1,0.02
1,32,6.0,0,1.50,1,1,0.20
0,23,5.2,0,0.00,0,0,0.00
0,25,22.1,0,0.40,1,1,0.05
0,24,2.2,0,0.00,0,0,0.00
5,21,51.2,0,1.22,7,3,0.58
2,33,17.2,2,2.55,7,2,0.25
4,27,51.2,0,2.44,14,8,0.25
4,24,49.1,2,1.09,8,2,0.12
26,23,157.1,2,2.06,38,28,1.13
0,25,2.0,0,0.00,0,0,0.00
0,26,42.2,0,2.32,11,8,0.46
3,34,133.0,2,1.15,19,12,0.85
1,26,99.2,3,1.72,22,12,0.86
8,22,91.1,1,0.59,7,5,0.35
