No.,Name,Yr,Pos,gp,gs,mpg,off/40,def/40,reb/40,pf/40,dq/40,ast/40,to/40,a/to,stl/40,blk/40
23.0,Jaden Welsh,Fr,G,23,1,6.6,1.8,2.9,4.7,2.1,0.0,0.5,1.8,0.3,0.5,0.3
3.0,Casey Nye,Jr,G,26,20,29.3,1.4,2.7,4.1,2.3,0.1,2.7,3.5,0.8,2.2,0.2
2.0,Payton Brooks,Jr,G,26,-,10.7,1.2,2.3,3.5,2.6,0.0,2.7,0.6,4.8,2.3,0.0
11.0,Isaac Jacobson,Jr,G,27,26,28.4,1.2,4.0,5.2,2.8,0.0,4.7,3.2,1.5,1.3,0.3
10.0,Anders Jacobson,So,G,25,23,28.8,0.9,4.4,5.3,3.3,0.1,3.1,4.0,0.8,2.4,0.2
24.0,Skyler Sims,Fr,G,16,-,4.5,1.7,2.2,3.9,3.3,0.0,2.2,6.7,0.3,1.1,0.0
30.0,Patrick Dillon,Jr,G,19,2,6.9,4.2,6.4,10.6,3.9,0.0,1.8,2.4,0.8,0.9,0.6
4.0,Spenser Briggs,Sr,G,12,9,27.8,2.2,4.9,7.1,4.0,0.0,2.3,3.0,0.8,2.3,0.2
13.0,Ed Greenhalgh,Jr,G,25,-,7.8,1.4,4.5,6.0,4.3,0.0,3.7,5.2,0.7,1.0,0.0
50.0,Justin Wolf,Fr,C,22,-,7.3,4.0,4.5,8.4,4.7,0.0,1.0,1.5,0.7,0.2,1.7
45.0,Justin Langford,Fr,F,26,4,18.3,2.9,3.9,6.9,4.8,0.2,1.6,1.7,1.0,1.0,0.0
21.0,Jon Jacobson,So,F,27,23,25.0,2.9,6.3,9.2,4.9,0.2,2.0,2.6,0.8,1.6,0.7
5.0,Travis Van Noy,Sr,C,27,27,22.9,2.8,6.0,8.8,5.1,0.3,1.8,2.8,0.6,0.9,2.0
55.0,Aaron Bailey,Jr,F,11,-,4.2,3.5,6.1,9.6,5.2,0.0,0.0,2.6,0.0,0.9,1.7
15.0,Jeff Grigg,Fr,G,6,-,2.7,0.0,5.0,5.0,7.5,0.0,5.0,5.0,1.0,2.5,0.0
 ,Totals, , ,27,27,200.3,11.1,22.9,33.9,18.5,0.0,12.9,15.0,0.9,7.8,2.6
 ,Opponent, , ,27,27,200.3,11.3,23.0,34.3,19.8,0.0,13.5,16.5,0.8,6.8,3.6
