Date,Opponent,Score,GP,GS,G,A,Pts,Sh,Shot%,SOG,SOG%,GW,PK-ATT
"Sep 16, 2009",at Southern Virginia,2-0,*, ,0,0,0,0,0.0,0,0.0,0,0-0
"Sep 19, 2009",at Shenandoah Hornets,1-1,*, ,0,0,0,0,0.0,0,0.0,0,0-0
"Sep 22, 2009",at Randolph-Macon,0-0,*,*,0,0,0,0,0.0,0,0.0,0,0-0
"Sep 26, 2009",at Lynchburg College,2-3,*,*,0,0,0,0,0.0,0,0.0,0,0-0
"Sep 29, 2009",GUILFORD COLLEGE,4-3,*,*,0,0,0,0,0.0,0,0.0,0,0-0
"Oct 03, 2009",at Randolph College,1-1,*,*,0,0,0,2,0.0,2,1.0,0,0-0
"Oct 07, 2009",at Virginia Wesleyan,0-1,*,*,0,0,0,0,0.0,0,1.0,0,0-0
"Oct 10, 2009",ROANOKE COLLEGE,0-1,*,*,0,0,0,1,0.0,0,0.667,0,0-0
"Oct 18, 2009",at Ferrum,0-0,*,*,0,0,0,3,0.0,1,0.5,0,0-0
"Oct 21, 2009",EASTERN MENNONITE,1-3,*,*,0,0,0,2,0.0,2,0.625,0,0-0
"Oct. 24,2009",HAMPDEN-SYDNEY,0-1,*,*,0,0,0,1,0.0,1,0.667,0,0-0
"Oct 14, 2009",EMORY & HENRY,2-0,*,*,1,0,2,6,0.067,3,0.6,1,0-0
"Oct 27, 2009",at Bridgewater College,2-1,*,*,0,0,0,1,0.062,1,0.625,0,0-0
"Oct 31, 2009",at Hampden-Sydney,0-3,*,*,0,0,0,0,0.062,0,0.625,0,0-0
Totals, ,15-18,14,12,1,0,2,16,0.062,10,0.625,1,0-0
