Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Henry Ramos,Gre,221,20,50,11,1,2,28,4,5,16,58,0.226,0.288,0.312,0.6
J.C. Linares,PawPor,226,20,59,10,0,9,27,0,0,16,43,0.261,0.317,0.425,0.742
Bryce Brentz,PawPor,237,20,58,10,1,5,26,2,2,21,71,0.245,0.311,0.359,0.669
Mauro Gomez,Paw,169,19,47,15,0,9,25,0,0,9,39,0.278,0.315,0.527,0.841
Michael Almanzar,Sal,216,16,59,13,0,4,22,4,3,15,40,0.273,0.325,0.389,0.714
Brandon Jacobs,Sal,218,25,43,15,0,3,22,5,4,18,72,0.197,0.274,0.307,0.581
Xander Bogaerts,PorSal,202,23,60,16,0,6,21,2,1,21,46,0.297,0.37,0.465,0.835
Travis Shaw,PorSal,211,21,47,13,2,4,21,4,1,27,63,0.223,0.317,0.36,0.677
David Renfroe,SalGre,198,17,39,12,0,3,21,2,1,14,49,0.197,0.261,0.303,0.564
Keury De La Cruz,SalGre,251,26,65,17,5,3,19,7,5,18,59,0.259,0.314,0.402,0.716
Boss Moanaroa,Gre,201,15,47,9,1,2,19,0,1,35,56,0.234,0.35,0.318,0.668
Jeremy Hazelbaker,PawPor,198,24,49,8,1,8,18,16,6,17,59,0.247,0.318,0.419,0.737
Garin Cecchini,Gre,231,27,61,16,1,2,18,19,3,23,55,0.264,0.337,0.368,0.705
Jackie Bradley,PorSal,202,25,63,20,3,2,16,8,5,26,49,0.312,0.397,0.47,0.867
Cody Koback,Gre,171,9,41,4,0,2,16,7,2,10,45,0.24,0.299,0.298,0.598
Manuel Margot,DSL,108,13,28,3,2,0,14,8,5,12,17,0.259,0.347,0.324,0.671
Robert Del Rosario,DSL,107,11,26,3,0,1,14,6,2,13,22,0.243,0.32,0.299,0.619
Shannon Wilkerson,PorSal,234,14,50,8,4,1,14,8,5,15,47,0.214,0.261,0.295,0.556
Reynaldo Rodriguez,PawPor,197,21,44,13,0,5,13,4,1,23,54,0.223,0.308,0.365,0.673
Lars Anderson,Paw,143,10,31,9,1,2,13,0,0,17,40,0.217,0.298,0.336,0.634
Jose Vinicio,GreLow,143,12,34,5,1,0,13,8,8,8,37,0.238,0.288,0.287,0.575
Aneudis Peralta,DSL,84,12,21,7,1,0,12,1,1,18,16,0.25,0.385,0.357,0.742
Ryan Lavarnway,Paw,136,14,36,10,0,1,12,0,0,14,28,0.265,0.333,0.36,0.694
Nate Spears,Paw,153,14,36,4,2,4,12,2,0,18,37,0.235,0.32,0.366,0.686
Drew Hedman,PorSal,121,15,22,6,0,5,12,4,0,23,40,0.182,0.318,0.355,0.673
