SEASON,TEAM,LEAGUE,GP,W,T,L,OTW,OTL,GF,GA,TP,RANK,POSTSEASON
1992 - 1993,BK Mlada Boleslav,Czech2,26,4,1,21,-,-,63,143,9,14,-
1993 - 1994,BK Mlada Boleslav,Czech3,30,20,4,6,-,-,168,94,44,3,Did not make playoffs
1994 - 1995,BK Mlada Boleslav,Czech3,30,14,4,12,-,-,135,120,32,7,Did not make playoffs
1995 - 1996,BK Mlada Boleslav,Czech3,30,14,0,16,-,-,120,134,28,9,Did not make playoffs
1996 - 1997,BK Mlada Boleslav,Czech3,30,20,2,8,-,-,119,74,42,3,Semifinal loss
1997 - 1998,BK Mlada Boleslav,Czech3,30,18,6,6,-,-,119,80,42,2,Semifinal loss
1998 - 1999,BK Mlada Boleslav,Czech3,34,19,5,10,-,-,138,86,43,5,Did not make playoffs
1999 - 2000,BK Mlada Boleslav,Czech3,38,16,7,15,-,-,131,128,39,10,Did not make playoffs
2000 - 2001,BK Mlada Boleslav,Czech3,38,25,5,8,-,-,159,85,55,1,Qualification loss
2001 - 2002,BK Mlada Boleslav,Czech3,34,26,2,4,1,1,158,66,83,1,Promoted
2002 - 2003,BK Mlada Boleslav,Czech2,40,18,5,9,3,5,123,92,70,4,Quarterfinal loss
2003 - 2004,BK Mlada Boleslav,Czech2,40,15,4,15,2,4,103,102,57,8,Quarterfinal loss
2004 - 2005,BK Mlada Boleslav,Czech2,52,22,8,14,5,3,156,128,87,4,Semifinal loss
2005 - 2006,BK Mlada Boleslav,Czech2,52,28,7,16,0,1,148,109,92,3,Final loss
2006 - 2007,BK Mlada Boleslav,Czech2,52,31,-,12,5,4,184,127,107,3,Semifinal loss
2007 - 2008,BK Mlada Boleslav,Czech2,44,34,-,2,4,4,182,71,114,1,Champion | Promoted
2008 - 2009,BK Mlada Boleslav,Czech,52,15,-,28,5,4,131,146,59,14,Did not make playoffs
 ,BK Mlada Boleslav,Czech,64,20,-,31,7,6,163,168,80,4,Saved in relegation
2009 - 2010,BK Mlada Boleslav,Czech,52,12,-,24,10,6,135,148,62,13,Did not make playoffs
 ,BK Mlada Boleslav,Czech,64,13,-,32,11,8,158,184,69,4,Saved in relegation
2010 - 2011,BK Mlada Boleslav,Czech,52,14,-,29,4,5,123,158,33,14,Did not make playoffs
 ,BK Mlada Boleslav,Czech,64,19,-,36,4,5,152,194,48,4,Saved in relegation
2011 - 2012,BK Mlada Boleslav,Czech,52,16,-,27,4,5,120,159,61,14,Did not make playoffs
 ,BK Mlada Boleslav,Czech,64,20,-,33,5,6,154,196,76,4,Relegated
2012 - 2013,BK Mlada Boleslav,Czech2,52,33,-,8,7,4,191,104,117,1,Qualification
 ,BK Mlada Boleslav,Czech,12,6,-,5,1,0,35,24,20,3,Qualification loss
2013 - 2014,BK Mlada Boleslav,Czech2,52,39,-,7,3,3,208,95,126,1,Qualification
 ,BK Mlada Boleslav,Czech,12,5,-,3,2,2,38,31,21,1,Promoted
2014 - 2015,BK Mlada Boleslav,Czech,52,21,-,22,0,9,156,164,72,10,Quarterfinal loss
2015 - 2016,BK Mlada Boleslav,Czech,-,-,-,-,-,-,-,-,-,-,-
