H,3B,PA,SLG,OBP,From,HR,Name,OPS
1,0,10,0.143,0.4,1991,0,Nikco Riesgo,0.543
15215,341,64250,0.395,0.337,1938,1300,School Totals,0.732
62,0,724,0.112,0.105,2002,1,Aaron Harang,0.217
3,0,53,0.068,0.146,1980,0,Dave Smith,0.214
0,0,1,0.0,0.0,2011,0,Addison Reed,0.0
0,0,1,0.0,0.0,2008,0,Alex Hinshaw,0.0
476,7,2409,0.266,0.304,1985,1,Al Newman,0.57
344,0,1537,0.37,0.314,2001,30,Jason Phillips,0.684
0,0,0, , ,1990,0,Jim Campbell, 
7,0,42,0.257,0.3,2010,0,Lance Zawadzki,0.557
1,0,1,1.0,1.0,2000,0,Justin Brunette,2.0
122,2,522,0.381,0.312,2008,11,Edgar Gonzalez,0.693
958,16,4233,0.408,0.337,1998,115,Travis Lee,0.745
2225,28,10228,0.421,0.329,1967,390,Graig Nettles,0.75
0,0,0, , ,1952,0,Ed Wolfe, 
0,0,0, , ,1987,0,Mark Williamson, 
