USG%,STL%,GmSc,MP,G,TS%,AST%,Tm
9.1,0.0,5.1,29:00,20,1.000,11.6,ORL
12.5,0.0,2.1,16:00,62,.400,0.0,ORL
13.4,1.7,15.3,33:00,21,.759,0.0,ORL
0.0,5.8,1.1,8:00,47, ,0.0,ORL
7.1,4.1,5.2,12:00,24,1.000,11.8,ORL
0.0,12.2,1.0,4:00,3, ,0.0,ORL
21.1,0.0,-2.8,14:00,39,.258,0.0,ORL
6.5,0.0,-0.7,7:00,5, ,22.1,ORL
13.4,0.0,1.6,7:00,14,1.000,0.0,ORL
18.4,3.0,11.6,17:00,66,.847,0.0,ORL
16.1,0.0,1.8,11:00,54,.500,15.4,ORL
5.1,0.0,2.2,9:00,10,1.000,0.0,ORL
17.7,3.9,5.9,13:00,60,.750,0.0,ORL
11.5,0.0,-3.9,15:00,27,.266,0.0,ORL
18.7,2.6,8.0,19:00,29,.533,9.4,ORL
17.5,0.0,6.3,16:00,7,.846,0.0,ORL
9.9,0.0,2.5,13:00,56,1.000,0.0,ORL
34.4,5.2,7.8,9:00,1,.592,0.0,ORL
13.7,0.0,4.1,13:00,35,1.064,9.6,ORL
14.9,0.0,6.0,13:00,12,.667,32.0,ORL
13.0,5.0,3.5,11:00,33,.667,0.0,ORL
20.0,2.9,13.6,18:00,52,.888,9.1,ORL
17.1,0.0,2.3,13:00,49,.387,15.2,ORL
12.0,2.5,4.6,21:00,67,.563,7.5,ORL
42.5,0.0,-0.1,6:00,6,.820,0.0,ORL
7.3,0.0,3.8,12:00,50,1.000,0.0,ORL
7.1,5.8,2.7,18:00,41,.266,7.4,ORL
10.2,0.0,2.4,21:00,31,.205,0.0,ORL
5.5,0.0,-0.7,7:00,40,.568,0.0,ORL
15.4,3.7,3.9,15:00,28,.906,0.0,ORL
13.8,0.0,2.1,7:00,63,1.000,0.0,ORL
14.8,4.2,1.8,12:00,22,.333,13.3,ORL
13.2,6.4,0.8,17:00,23,.362,7.4,ORL
16.2,2.7,5.1,17:00,48,.595,0.0,ORL
3.3,3.7,0.5,14:00,15,.000,0.0,ORL
6.5,0.0,2.5,21:00,53,.174,11.4,ORL
