POS,BB,SH,Player,H,AB,SO
C,0,0,C Robinson,2,12,3
C,4,0,T Cruz,25,123,25
C,13,3,M Maldonado,31,183,53
C,51,0,M Montero,95,413,110
C,5,0,M McKenry,25,115,24
C,15,0,W Ramos,78,287,42
C,1,0,K Skipworth,0,3,1
C,5,0,M Olivo,15,74,23
C,0,0,J Monell,1,8,3
C,2,1,K Hill,9,58,18
C,45,4,A Ellis,93,390,78
C,13,3,Y Torrealba,43,179,24
C,26,1,N Hundley,87,373,98
C,30,0,Y Molina,161,505,55
C,8,0,W Nieves,58,195,32
C,0,0,J Centeno,3,10,1
C,7,0,H Sanchez,32,129,29
C,0,0,D Butera,1,7,4
C,0,1,T Gosewisch,8,45,8
C,20,2,K Suzuki,56,252,32
C,13,1,A Recker,29,135,49
C,18,4,C Ruiz,83,310,39
