2B,SH,CS,SLG,POS,R,AB,OPS,OBP,3B
16,2,6,0.396,1B,48,391,0.665,0.269,1
2,0,1,0.37,3B,7,46,0.747,0.377,1
41,0,3,0.52,3B,45,373,0.858,0.338,1
0,0,0,0.125,3B,1,8,0.25,0.125,0
1,0,1,0.114,3B,2,88,0.337,0.223,0
9,1,0,0.552,3B,29,154,0.909,0.358,3
9,0,0,0.43,3B,7,79,0.795,0.365,0
25,0,2,0.396,3B,52,391,0.722,0.326,2
19,0,5,0.401,3B,40,329,0.735,0.333,4
25,4,7,0.317,3B,45,461,0.621,0.304,1
20,0,3,0.504,1B,41,282,0.92,0.416,1
1,0,0,1.0,1B,0,2,1.667,0.667,0
16,1,4,0.432,3B,49,303,0.738,0.306,6
29,2,4,0.443,1B,71,501,0.783,0.34,4
3,0,1,0.4,3B,7,40,0.783,0.383,1
13,0,2,0.358,1B,26,229,0.69,0.332,1
32,0,0,0.463,1B,48,397,0.825,0.361,2
9,5,11,0.424,3B,30,236,0.778,0.354,4
5,0,0,0.435,1B,4,46,0.901,0.467,0
7,0,1,0.392,1B,8,102,0.804,0.412,0
16,7,3,0.358,3B,61,366,0.647,0.289,5
5,1,2,0.323,3B,15,133,0.617,0.293,0
1,0,0,0.333,3B,3,30,0.667,0.333,0
1,1,0,0.343,3B,7,35,0.643,0.3,0
15,1,5,0.332,1B,38,358,0.614,0.281,3
13,3,0,0.414,3B,14,140,0.736,0.322,3
