ORB%,TRB%,eFG%
0.0,6.9,1.000
27.4,55.2,.000
0.0,9.9,.667
14.1,13.1,.667
0.0,11.8,.600
0.0,0.0, 
0.0,26.4, 
0.0,0.0,.000
17.8,9.3, 
16.2,23.4,.000
12.3,14.5,.833
9.5,12.1,.250
20.1,11.0,.000
0.0,0.0,.000
13.1,15.5,.667
0.0,0.0,.000
0.0,27.6,.000
0.0,8.9,.000
7.2,8.1,.250
0.0,19.6,.000
17.2,18.5,.500
0.0,12.7,1.000
12.1,10.3,.429
15.2,21.8,1.000
13.5,13.9,1.000
24.1,24.6,.750
0.0,0.0, 
4.7,13.8,.500
15.4,21.1,.250
0.0,11.9, 
0.0,0.0,.000
24.2,24.5,.500
8.3,13.7,.250
0.0,0.0, 
28.6,15.0,.000
10.6,15.6,.500
0.0,13.4,.333
0.0,0.0,.000
5.1,13.8,.500
15.8,16.9,1.000
