AST%,MP,GS,Opp
0.0,13:00,0,DEN
23.6,14:00,0,HOU
0.0,19:00,1,MIL
10.7,10:00,0,DAL
21.6,18:00,0,SAS
18.3,21:00,0,SEA
0.0,9:00,0,GSW
24.1,11:00,0,DEN
10.0,12:00,1,PHO
23.1,13:00,0,DET
9.3,26:00,0,LAL
22.9,12:00,0,SAC
15.6,26:00,0,DAL
0.0,16:00,0,IND
20.4,10:00,0,PHO
13.8,18:00,0,UTA
11.9,9:00,0,LAC
0.0,12:00,0,LAC
0.0,18:00,0,NYK
4.6,23:00,0,DAL
0.0,13:00,0,PHO
0.0,29:00,1,POR
11.1,12:00,0,SAC
11.8,16:00,0,LAC
0.0,12:00,0,POR
13.9,22:00,0,DEN
18.2,20:00,0,WSB
0.0,8:00,0,HOU
12.8,8:00,0,LAL
0.0,20:00,1,UTA
5.9,21:00,1,UTA
12.0,23:00,0,SAC
14.0,30:00,0,WSB
0.0,14:00,0,SAC
