MP,Date,Tm,DRB%
8:00,1985-12-11,SEA,14.6
18:00,1986-03-26,SEA,0.0
13:00,1986-01-18,SEA,22.6
23:00,1986-01-15,SEA,6.1
10:00,1986-02-02,SEA,0.0
4:00,1985-11-26,SEA,0.0
5:00,1985-10-26,SEA,22.9
13:00,1986-02-04,SEA,13.6
8:00,1986-01-06,SEA,57.1
2:00,1985-12-13,SEA,0.0
7:00,1986-01-28,SEA,0.0
13:00,1986-02-17,SEA,0.0
33:00,1986-04-10,SEA,26.4
29:00,1985-12-03,SEA,4.0
31:00,1986-03-03,SEA,11.3
11:00,1985-11-20,SEA,24.2
19:00,1986-02-21,SEA,12.0
5:00,1986-03-12,SEA,0.0
10:00,1986-03-23,SEA,0.0
23:00,1986-04-08,SEA,11.9
1:00,1985-11-02,SEA,0.0
7:00,1986-01-23,SEA,12.7
2:00,1986-03-09,SEA,0.0
15:00,1986-01-13,SEA,7.1
19:00,1986-04-02,SEA,8.1
17:00,1986-02-15,SEA,0.0
17:00,1986-03-18,SEA,0.0
11:00,1986-02-19,SEA,9.1
6:00,1986-02-22,SEA,0.0
11:00,1986-01-17,SEA,0.0
4:00,1986-02-13,SEA,0.0
24:00,1986-03-13,SEA,0.0
4:00,1985-12-30,SEA,70.6
2:00,1985-11-22,SEA,0.0
16:00,1985-12-19,SEA,22.0
13:00,1986-02-25,SEA,0.0
25:00,1986-01-30,SEA,3.8
11:00,1985-12-10,SEA,0.0
14:00,1986-01-09,SEA,8.2
13:00,1985-11-16,SEA,0.0
5:00,1986-01-25,SEA,0.0
4:00,1985-11-24,SEA,29.3
