Team,Oppo,Date,Comp,Res,Appear,g,a,sh,sg,fc,fs,yc,rc
Ross County,A - St Mirren,"Apr 13, 2015",SPFL,W 0-3,Unused Substitute, , , , , , , , 
Ross County,H - St Johnstone,"Apr 7, 2015",SPFL,W 1-0,Unused Substitute, , , , , , , , 
Ross County,A - Dundee Utd,"Apr 4, 2015",SPFL,W 1-2,Unused Substitute, , , , , , , , 
Ross County,H - Kilmarnock,"Mar 21, 2015",SPFL,W 2-1,Sub-On 64 min,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
Ross County,A - Hamilton,"Mar 14, 2015",SPFL,D 2-2,Sub-Off 57 min,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Ross County,H - Partick,"Mar 7, 2015",SPFL,W 1-0,Sub-On 78 min,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Ross County,H - Dundee,"Feb 28, 2015",SPFL,W 1-0,Sub-On 74 min,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Ross County,A - Partick,"Feb 21, 2015",SPFL,W 1-3,Sub-On 72 min,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
Ross County,A - Inverness CT,"Jan 31, 2015",SPFL,D 1-1,Sub-On 74 min,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Ross County,H - Celtic,"Jan 24, 2015",SPFL,L 0-1,Sub-On 79 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ross County,H - St Mirren,"Jan 17, 2015",SPFL,L 1-2,Sub-On 76 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ross County,A - Dundee,"Jan 4, 2015",SPFL,D 1-1,Sub-On 77 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ross County,H - Inverness CT,"Jan 1, 2015",SPFL,L 1-3,Sub-On 53 min,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Ross County,A - Celtic,"Dec 27, 2014",SPFL,D 0-0,Sub-On 90 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ross County,H - Hamilton,"Dec 20, 2014",SPFL,L 0-1,Sub-On 54 min,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Ross County,A - Motherwell,"Dec 13, 2014",SPFL,D 2-2,Sub-Off 63 min,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Ross County,H - Dundee Utd,"Dec 5, 2014",SPFL,L 2-3,Sub-Off 72 min,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0
Ross County,A - St Johnstone,"Nov 29, 2014",SFAC,L 2-1,Sub-Off 74 min,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Ross County,A - St Johnstone,"Nov 22, 2014",SPFL,L 2-1,Started,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0
Ross County,A - Kilmarnock,"Nov 8, 2014",SPFL,W 0-3,Sub-Off 73 min,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0
Ross County,H - Aberdeen,"Nov 3, 2014",SPFL,L 0-1,Sub-On 60 min,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
Ross County,A - St Mirren,"Oct 25, 2014",SPFL,D 2-2,Sub-On 72 min,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Ross County,H - Celtic,"Oct 18, 2014",SPFL,L 0-5,Sub-On 45 min,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Ross County,A - Inverness CT,"Oct 5, 2014",SPFL,D 1-1,Sub-On 48 min,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Ross County,H - Dundee,"Sep 27, 2014",SPFL,W 2-1,Unused Substitute, , , , , , , , 
Ross County,H - Hibernian,"Sep 23, 2014",LC,L 0-2,Unused Substitute, , , , , , , , 
Ross County,A - Aberdeen,"Sep 20, 2014",SPFL,L 3-0,Sub-On 66 min,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Ross County,H - Motherwell,"Sep 13, 2014",SPFL,L 1-2,Sub-Off 65 min,0.0,0.0,3.0,1.0,1.0,3.0,0.0,0.0
Ross County,A - Hamilton,"Aug 30, 2014",SPFL,L 4-0,Sub-On 68 min,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Ross County,A - Stranraer,"Aug 26, 2014",LC,W 1-2,Sub-Off 58 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ross County,A - Dundee Utd,"Aug 23, 2014",SPFL,L 2-1,Sub-Off 83 min,1.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0
Ross County,H - Kilmarnock,"Aug 16, 2014",SPFL,L 1-2,Started,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0
Ross County,A - Partick,"Aug 13, 2014",SPFL,L 4-0,Started,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0
Ross County,H - St Johnstone,"Aug 10, 2014",SPFL,L 1-2,Sub-Off 84 min,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0
