SF,Player,BB,SO,SB,R,HR,RBI
0,R Cruz,16,83,3,33,10,40
0,L Lajara,3,6,0,2,1,4
5,G Guest,27,33,5,21,0,21
0,A Mannon,9,23,3,10,4,9
0,H Arias,0,2,0,0,0,0
0,S Suarez,8,24,0,13,3,19
1,B Berglund,25,66,10,26,4,27
0,M Sharp,12,22,1,9,0,8
2,F Peguero,28,79,0,38,6,46
2,R Rodriguez,9,16,1,8,1,9
0,J Jimenez,1,6,0,4,0,0
0,M Hughes,12,48,3,20,2,13
0,E Santana,33,54,20,51,3,29
2,R Ryal,14,47,11,59,6,46
0,A Hill,0,0,1,0,0,0
1,M DeCarlo,12,32,1,22,3,19
0,D Jackson,6,40,2,17,1,13
0,B Barber,12,6,3,20,0,10
0,M Rodriguez,6,15,0,6,0,3
0,S Pedroza,6,8,4,13,4,18
0,G Strickland,11,34,6,13,0,7
0,J Alonso,3,10,1,6,2,5
1,J Castillo,16,43,5,24,1,20
1,K Thibault,10,26,3,27,9,34
0,B Mummy,20,47,4,25,1,14
1,A Larsen,26,43,10,41,7,31
0,K Feiner,0,3,0,2,0,1
0,B Everett,13,16,0,24,5,21
0,J Elder,16,14,2,22,2,10
2,B Katin,17,25,3,30,8,26
1,E Roman,2,22,5,13,2,5
0,R Gil,2,10,0,5,2,4
3,O Diaz,14,63,1,35,6,38
2,R Braun,2,6,2,6,2,10
1,J Johnson,25,25,3,20,2,26
0,G Dini,1,6,0,6,0,4
0,J Santiago,6,29,8,20,2,11
0,B Opdyke,14,22,1,7,0,3
9,C Cook,19,59,0,29,15,46
1,K Pujols,8,25,0,7,2,11
1,S Mena,19,69,9,40,5,46
3,T Allen,9,34,5,23,5,33
1,Y Lasso,6,8,0,1,0,1
0,L Cain,1,6,0,4,0,1
0,B Herrera,14,27,0,25,2,17
2,E Young,35,52,25,48,3,25
4,C Fermaint,15,28,11,46,12,32
0,J Turner,30,73,2,36,12,44
0,D Fowler,27,73,18,43,4,23
1,J Jirschele,5,16,0,8,0,4
0,M Loupadiere,5,11,3,12,0,5
0,M Maldonado,2,6,0,4,1,2
3,G Thomson,12,43,5,29,1,20
5,M Tribble,28,45,8,38,1,31
0,P Lepage,0,1,0,0,0,1
4,D Roberts,16,55,19,40,7,29
3,W Perez,24,33,3,29,2,23
0,B Camardese,0,0,0,0,0,0
