Team,RPG,FGM,TOV,GP,FTM,FG%,PF
CAN,3.1,3.9,1.1,34,2.9,0.431,3.0
GCN,6.4,4.6,2.5,38,2.7,0.468,2.3
VAL,7.1,6.1,1.6,34,2.3,0.549,2.3
BRV,1.6,1.5,0.7,30,0.3,0.409,2.0
UNI,2.1,3.3,1.5,34,1.3,0.423,1.9
MOV,5.5,3.9,1.4,33,0.5,0.487,2.6
ZAR,3.1,4.7,1.6,40,0.9,0.474,2.5
GCN,2.3,5.3,1.9,38,1.7,0.499,1.8
FCB,3.9,2.0,0.5,39,0.6,0.503,1.7
MUR,1.8,1.7,1.3,33,1.1,0.377,1.6
SEV,3.2,4.5,3.1,33,2.7,0.469,2.7
BBB,4.4,3.2,1.4,36,1.0,0.504,2.5
JOV,2.7,2.2,0.7,29,1.2,0.441,1.3
CAJ,3.2,4.1,1.3,36,1.9,0.49,1.2
MAN,2.4,5.1,2.3,34,2.2,0.463,2.7
VAL,2.3,3.5,1.5,33,1.8,0.45,1.8
JOV,2.9,3.0,1.6,34,4.1,0.421,2.0
OBR,2.1,2.0,1.8,31,0.9,0.397,2.0
JOV,1.4,2.5,0.8,34,0.7,0.353,1.7
ZAR,3.2,3.1,1.6,40,1.6,0.496,1.8
MOV,5.3,4.9,2.4,30,3.7,0.468,1.7
SEV,2.8,3.7,2.0,33,1.7,0.419,2.9
BBB,1.5,1.9,1.4,29,1.2,0.357,2.7
BBB,4.1,4.5,2.4,36,1.8,0.447,2.2
UNI,3.3,2.4,1.3,34,0.8,0.345,2.5
FCB,2.2,2.2,0.7,32,1.0,0.437,1.7
RMB,3.7,1.3,0.7,43,0.6,0.433,1.0
MOV,2.0,4.3,1.3,33,0.9,0.5,2.2
MAN,2.6,1.9,2.0,34,0.9,0.409,1.8
CAJ,1.6,1.9,1.8,37,0.7,0.411,1.8
CAJ,4.7,5.2,1.7,36,2.1,0.526,2.8
GCN,4.3,4.6,1.3,40,1.4,0.458,2.4
SEV,2.6,2.2,1.3,34,1.1,0.402,2.0
MAN,2.1,1.5,0.6,34,0.5,0.389,1.8
VAL,2.9,2.0,2.0,34,0.8,0.416,2.9
OBR,1.8,3.8,0.8,36,2.2,0.408,1.1
MOV,3.3,2.4,0.6,30,0.8,0.426,1.5
VAL,2.8,3.6,1.7,29,1.2,0.446,3.3
FCB,2.1,3.1,1.7,45,1.4,0.438,1.2
UNI,3.1,3.1,2.0,31,2.1,0.438,2.4
BBB,5.6,4.9,1.8,36,2.8,0.543,2.8
CAN,2.7,3.7,1.5,29,1.4,0.438,1.3
