Year,Age,Lg,Tm,G,GS,IP,K/9,BB/9,K/BB,HR/9,GB/FB Ratio,Strand %,Fastball,ERA,FIP,BABIP
2004,22.0,A,KIN,1,1,4.7,5.79,3.86,1.5,1.93,–,54.5%,–,11.57,5.99,0.47
2004,22.0,A,LAK,23,22,115.0,7.75,3.68,2.11,0.7,–,66.7%,–,4.85,3.72,0.332
2005,23.0,A,KIN,14,14,77.2,5.6,3.73,1.5,0.7,–,71.3%,–,3.36,4.21,0.22
2005,23.0,AA,AKR,15,8,66.7,6.21,1.62,3.83,0.68,–,86.7%,–,1.76,3.43,0.253
2006,24.0,AA,AKR,12,12,67.3,7.08,2.94,2.41,0.4,–,75%,–,2.81,3.32,0.268
2006,24.0,AAA,BUF,13,0,27.3,10.87,2.63,4.13,0.0,–,71.4%,–,2.63,1.88,0.312
2006,24.0,MAJ,CLE,18,0,12.3,10.95,4.38,2.5,1.46,1.67,71.4%,–,4.38,4.38,0.288
2007,25.0,AAA,BUF,8,7,46.7,5.98,2.12,2.82,0.58,–,73.8%,–,3.66,3.48,0.332
2007,25.0,MAJ,CLE,44,0,60.7,9.2,2.23,4.13,0.74,1.61,86.3%,–,1.78,2.99,0.248
2008,26.0,MAJ,CLE,73,0,76.3,10.14,2.71,3.74,0.94,2.33,73.2%,89.6 MPH,3.54,3.24,0.313
2009,27.0,AAA,COL,16,0,21.7,9.55,2.08,4.6,0.0,–,92.9%,–,0.83,1.91,0.376
2009,27.0,MAJ,CLE,54,0,48.0,6.0,4.69,1.28,0.94,2.08,60.5%,90.8 MPH,7.31,4.84,0.371
2010,28.0,MAJ,CLE,70,0,61.0,5.31,3.69,1.44,0.44,2.35,79.8%,90.7 MPH,3.25,3.89,0.337
2011,29.0,MAJ,CLE,71,0,63.0,4.71,2.71,1.74,0.29,2.35,75%,89.3 MPH,3.0,3.47,0.283
2012,30.0,AA,AKR,2,1,4.0,0.0,0.0,0.0,0.0,–,100%,–,0.0,3.2,0.151
2012,30.0,AAA,COL,2,0,2.0,4.5,4.5,1.0,0.0,–,100%,–,0.0,3.7,0.177
2012,30.0,MAJ,CLE,8,0,7.7,4.7,4.7,1.0,1.17,0.90,75%,87.7 MPH,3.52,5.42,0.185
2013,31.0,AA,POR,25,0,30.2,8.94,1.49,6.0,0.89,–,79.3%,–,2.64,3.1,0.303
2013,31.0,AAA,ROC,25,0,4.0,4.5,6.75,0.67,2.25,–,100%,–,2.25,7.7,0.097
2014,32.0,AAA,ROU,4,0,3.2,11.25,0.0,0.0,2.81,–,33.3%,–,7.36,4.76,0.374
2014,32.0,AAA,IND,10,8,56.0,5.46,1.93,2.83,0.32,–,86.4%,–,1.77,3.2,0.304
3-Year Averages, , , ,8,0,7.7,4.7,4.7,1.0,1.17,–,75%,–,3.52,5.42,0.185
Career, , , ,338,0,329.0,7.33,3.2,2.29,0.71,–,74%,–,3.64,3.7,0.308
