MP,eFG%,USG%,DRtg,STL%,Age,DRB%,Tm
12:00,.500,7.3,126,0.0,27-253,22.9,SAC
17:00,.000,11.5,117,3.3,27-325,15.7,SAC
17:00,.667,12.8,90,3.0,27-193,18.0,SAC
5:00,.000,19.3,114,0.0,27-281,26.7,SAC
8:00,1.000,11.6,77,0.0,27-285,63.2,SAC
26:00,.500,18.6,79,3.9,27-244,19.4,SAC
7:00,.000,12.6,101,0.0,27-268,29.2,SAC
9:00,.000,9.3,93,0.0,27-273,10.5,SAC
2:00,.000,21.3,79,0.0,27-161,47.1,SAC
29:00,.600,9.9,97,1.8,27-319,29.7,SAC
23:00,.500,12.3,88,0.0,27-293,59.6,SAC
9:00,.000,13.7,106,0.0,27-223,0.0,SAC
23:00,1.000,9.8,127,0.0,27-308,12.3,SAC
7:00,1.000,11.8,120,0.0,27-235,0.0,SAC
39:00,.600,8.4,108,2.6,27-167,13.3,SAC
5:00,1.000,32.2,88,0.0,27-156,20.0,SAC
3:00, ,0.0,134,0.0,27-264,0.0,SAC
4:00,.000,10.9,106,0.0,27-289,0.0,SAC
25:00,.636,17.5,103,4.1,27-326,8.7,SAC
6:00, ,0.0,113,0.0,27-229,23.5,SAC
11:00, ,3.4,134,0.0,27-274,26.4,SAC
14:00,1.000,2.9,104,0.0,27-209,15.2,SAC
12:00,.667,11.3,110,0.0,27-198,34.3,SAC
19:00,.167,14.8,92,0.0,27-314,21.5,SAC
19:00,1.000,8.8,95,2.8,27-163,20.6,SAC
11:00,1.000,12.5,96,0.0,27-169,40.6,SAC
26:00,.000,1.9,87,0.0,27-201,35.9,SAC
14:00,.143,29.8,114,3.6,27-205,9.0,SAC
17:00,.000,15.4,121,0.0,27-315,0.0,SAC
7:00,.000,12.0,111,0.0,27-204,21.4,SAC
21:00,.333,10.7,109,0.0,27-307,11.6,SAC
7:00,1.000,16.7,101,0.0,27-160,12.2,SAC
16:00,.600,25.4,98,0.0,27-181,5.6,SAC
