Batter,Team,AB,H,AVG,2B,3B,HR,RBI,BB,K,SB,CS,SLG,OBP,OPS
Prince Fielder,TEX,33,7,0.212,1,0,1,4,2,8,0,0,0.333,0.257,0.59
Corey Hart,PIT,29,7,0.241,1,0,4,8,2,4,1,0,0.69,0.303,0.993
Brandon Phillips,CIN,27,6,0.222,1,0,0,2,2,2,0,0,0.259,0.276,0.535
J.J. Hardy,BAL,26,11,0.423,2,0,2,4,3,4,1,0,0.731,0.483,1.214
Ryan Braun,MIL,24,11,0.458,2,0,3,9,7,3,2,1,0.917,0.581,1.497
Rickie Weeks,SEA,24,5,0.208,0,0,1,2,6,4,0,0,0.333,0.406,0.74
Aaron Miles, ,23,9,0.391,1,0,0,1,2,2,0,1,0.435,0.44,0.875
Ronny Cedeno,AZ,23,6,0.261,2,0,0,2,2,10,1,0,0.348,0.32,0.668
Jose Reyes,COL,23,5,0.217,1,0,0,3,5,1,0,0,0.261,0.357,0.618
Bill Hall, ,22,6,0.273,2,0,1,3,2,9,0,1,0.5,0.333,0.833
Alfonso Soriano, ,22,5,0.227,0,0,3,5,0,8,0,0,0.636,0.227,0.864
Joey Votto,CIN,22,3,0.136,0,0,1,5,3,8,1,0,0.273,0.24,0.513
Derrek Lee, ,21,9,0.429,3,0,2,6,2,1,0,0,0.857,0.478,1.335
David Wright,NY-N,21,7,0.333,3,0,0,1,6,5,1,0,0.476,0.5,0.976
Stephen Drew,NY-A,20,7,0.35,0,0,0,1,2,4,0,0,0.35,0.409,0.759
Albert Pujols,ANA,20,6,0.3,3,0,0,3,8,2,0,0,0.45,0.5,0.95
Aramis Ramirez,PIT,20,3,0.15,0,0,1,3,2,4,1,0,0.3,0.227,0.527
Adrian Gonzalez,LA,18,7,0.389,2,0,1,5,2,2,0,0,0.667,0.45,1.117
Andrew McCutchen,PIT,18,7,0.389,1,0,0,3,1,3,1,0,0.444,0.4,0.844
Mike Cameron, ,18,6,0.333,0,0,2,3,6,2,0,1,0.667,0.48,1.147
Ryan Ludwick, ,18,4,0.222,2,0,0,3,2,2,0,1,0.333,0.273,0.606
Brian McCann,NY-A,18,1,0.056,0,0,0,2,2,4,1,0,0.056,0.15,0.206
Rafael Furcal, ,17,8,0.471,0,0,0,2,1,3,0,0,0.471,0.526,0.997
Scott Hairston, ,17,3,0.176,1,0,0,0,2,6,1,0,0.235,0.263,0.498
Ryan Theriot, ,17,3,0.176,1,0,0,0,1,0,0,0,0.235,0.222,0.458
Jonny Gomes,ATL,17,2,0.118,0,0,0,1,0,8,0,0,0.118,0.118,0.235
Mark Reynolds,STL,16,5,0.313,1,0,1,4,2,5,0,0,0.563,0.35,0.913
Scott Rolen, ,16,5,0.313,0,0,0,0,3,3,0,0,0.313,0.421,0.734
David Eckstein, ,15,5,0.333,1,0,0,1,2,1,0,0,0.4,0.412,0.812
Yadier Molina,STL,15,3,0.2,1,0,0,1,3,2,2,0,0.267,0.333,0.6
