Batter,Team,AB,H,AVG,2B,3B,HR,RBI,BB,K,SB,CS,SLG,OBP,OPS
Mike Trout,ANA,17,7,0.412,1,0,0,2,0,4,0,0,0.471,0.421,0.892
Adrian Beltre,TEX,17,6,0.353,1,0,0,2,0,2,1,0,0.412,0.353,0.765
Elvis Andrus,TEX,17,1,0.059,0,0,0,0,1,5,0,0,0.059,0.158,0.217
Albert Pujols,ANA,16,6,0.375,0,0,1,3,0,1,0,0,0.563,0.412,0.974
David Murphy,ANA,15,4,0.267,2,0,1,2,2,2,0,1,0.6,0.353,0.953
Erick Aybar,ANA,14,6,0.429,0,0,0,1,1,0,1,0,0.429,0.467,0.895
Howie Kendrick,LA,14,5,0.357,0,0,0,1,0,4,1,0,0.357,0.357,0.714
Mark Trumbo,SEA,14,5,0.357,2,0,1,5,1,2,0,0,0.714,0.4,1.114
Josh Hamilton,TEX,13,3,0.231,0,0,1,6,0,5,0,0,0.462,0.2,0.662
J.B. Shuck,CHI-A,13,3,0.231,1,0,0,0,0,1,0,0,0.308,0.231,0.538
Alex Rios,KC,12,5,0.417,1,0,0,1,2,3,2,0,0.5,0.5,1.0
Ian Kinsler,DET,12,3,0.25,0,0,0,1,3,1,1,0,0.25,0.438,0.688
Robinson Cano,SEA,11,4,0.364,0,0,0,1,1,0,1,0,0.364,0.417,0.78
Mitch Moreland,TEX,11,1,0.091,0,0,0,1,3,5,0,0,0.091,0.286,0.377
Torii Hunter,MIN,10,7,0.7,1,0,3,3,0,3,0,0,1.7,0.7,2.4
A.J. Pierzynski,ATL,10,4,0.4,1,0,1,5,0,0,0,0,0.8,0.417,1.217
Kendrys Morales,KC,9,4,0.444,1,0,2,4,2,3,0,0,1.222,0.545,1.768
Kyle Seager,SEA,9,3,0.333,1,0,1,1,3,2,0,0,0.778,0.5,1.278
Jose Altuve,HOU,9,2,0.222,0,0,0,1,0,2,0,0,0.222,0.222,0.444
Nelson Cruz,SEA,9,2,0.222,1,0,1,1,0,2,0,0,0.667,0.222,0.889
Edwin Encarnacion,TOR,9,2,0.222,0,0,0,0,1,0,0,0,0.222,0.3,0.522
Chris Iannetta,ANA,9,2,0.222,1,0,1,3,2,4,0,0,0.667,0.417,1.083
Leonys Martin,TEX,9,2,0.222,1,0,0,0,1,3,0,0,0.333,0.364,0.697
Justin Smoak,TOR,9,2,0.222,1,0,0,2,3,1,1,0,0.333,0.385,0.718
Vernon Wells, ,9,2,0.222,0,0,1,2,0,3,1,0,0.556,0.222,0.778
Jason Castro,HOU,9,0,0.0,0,0,0,0,0,6,0,0,0.0,0.0,0.0
Alejandro De Aza,BOS,8,3,0.375,2,0,0,1,1,2,0,0,0.625,0.444,1.069
Alberto Callaspo,LA,8,2,0.25,0,0,1,1,2,1,0,0,0.625,0.4,1.025
Dustin Ackley,NY-A,8,1,0.125,0,0,1,2,1,1,0,0,0.5,0.222,0.722
Chris Carter,HOU,7,2,0.286,0,0,1,2,1,4,0,0,0.714,0.375,1.089
Raul Ibanez, ,7,2,0.286,0,0,1,3,0,2,0,0,0.714,0.286,1.0
Jose Reyes,COL,7,2,0.286,0,0,0,0,1,1,0,0,0.286,0.375,0.661
Lance Berkman, ,7,1,0.143,0,0,0,2,1,1,1,0,0.143,0.25,0.393
Matt Dominguez,MIL,7,1,0.143,1,0,0,0,0,1,0,0,0.286,0.143,0.429
Maicer Izturis,TOR,7,1,0.143,0,0,0,0,0,1,0,0,0.143,0.143,0.286
Jurickson Profar,TEX,7,1,0.143,0,0,0,0,1,0,1,0,0.143,0.25,0.393
Michael Saunders,TOR,7,1,0.143,0,0,1,2,1,1,0,0,0.571,0.25,0.821
Mike Napoli,BOS,7,0,0.0,0,0,0,0,0,4,1,0,0.0,0.0,0.0
Adam Lind,MIL,6,3,0.5,1,0,0,0,1,1,0,0,0.667,0.571,1.238
Prince Fielder,TEX,6,2,0.333,1,0,0,1,0,1,0,1,0.5,0.333,0.833
Alexei Ramirez,CHI-A,6,2,0.333,0,0,0,2,0,1,0,0,0.333,0.333,0.667
Jose Bautista,TOR,6,1,0.167,0,0,1,1,1,1,0,0,0.667,0.286,0.952
Adam Dunn, ,6,1,0.167,0,0,0,1,0,1,0,0,0.167,0.167,0.333
Jason Kipnis,CLE,6,1,0.167,0,1,0,0,0,2,0,0,0.5,0.167,0.667
Dayan Viciedo,CHI-A,6,1,0.167,0,0,0,0,0,2,0,0,0.167,0.167,0.333
Trevor Plouffe,MIN,6,0,0.0,0,0,0,0,0,2,0,0,0.0,0.0,0.0
Michael Brantley,CLE,5,3,0.6,2,0,0,0,1,0,0,0,1.0,0.667,1.667
Emilio Bonifacio,CHI-A,5,2,0.4,0,0,1,1,0,0,0,0,1.0,0.4,1.4
Kole Calhoun,ANA,5,2,0.4,0,0,1,2,1,0,1,0,1.0,0.5,1.5
Adam Jones,BAL,5,2,0.4,1,0,1,2,0,0,0,0,1.2,0.4,1.6
Brett Lawrie,OAK,5,2,0.4,0,0,0,0,0,2,0,0,0.4,0.4,0.8
Hanley Ramirez,BOS,5,2,0.4,1,0,1,3,0,1,0,0,1.2,0.4,1.6
Colby Rasmus,HOU,5,2,0.4,0,0,0,0,0,1,0,0,0.4,0.4,0.8
Xander Bogaerts,BOS,5,1,0.2,0,0,0,0,0,1,0,0,0.2,0.2,0.4
Brian Dozier,MIN,5,1,0.2,0,0,1,1,1,0,0,0,0.8,0.333,1.133
Brett Gardner,NY-A,5,1,0.2,1,0,0,0,1,0,0,0,0.4,0.333,0.733
Franklin Gutierrez,SEA,5,1,0.2,0,0,1,1,0,1,0,0,0.8,0.2,1.0
J.J. Hardy,BAL,5,1,0.2,0,0,0,1,0,1,0,0,0.2,0.2,0.4
Corey Hart,PIT,5,1,0.2,0,0,1,1,1,1,0,0,0.8,0.333,1.133
Jayson Nix, ,5,1,0.2,0,0,0,1,0,0,0,0,0.2,0.2,0.4
Josmil Pinto,MIN,5,1,0.2,0,0,0,0,0,1,0,0,0.2,0.2,0.4
Alex Presley,HOU,5,1,0.2,0,0,0,1,0,1,0,0,0.2,0.2,0.4
Michael Bourn,CLE,5,0,0.0,0,0,0,0,0,3,0,1,0.0,0.0,0.0
Hank Conger,HOU,5,0,0.0,0,0,0,0,0,2,0,0,0.0,0.0,0.0
Conor Gillaspie,ANA,5,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Paul Konerko, ,5,0,0.0,0,0,0,0,0,2,0,0,0.0,0.0,0.0
Pablo Sandoval,BOS,5,0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
Brett Wallace,SD,5,0,0.0,0,0,0,0,0,4,0,0,0.0,0.0,0.0
Matt Wieters,BAL,4,3,0.75,0,0,2,2,1,0,0,0,2.25,0.8,3.05
Endy Chavez, ,4,2,0.5,1,0,0,0,1,1,0,0,0.75,0.6,1.35
Starling Marte,PIT,4,2,0.5,0,0,0,0,0,2,0,0,0.5,0.5,1.0
Marwin Gonzalez,HOU,4,1,0.25,1,0,0,0,0,2,0,0,0.5,0.25,0.75
Andrew McCutchen,PIT,4,1,0.25,0,0,0,1,1,0,0,0,0.25,0.4,0.65
Jordy Mercer,PIT,4,1,0.25,1,0,0,0,0,0,0,0,0.5,0.25,0.75
Brad Miller,SEA,4,1,0.25,1,0,0,0,1,3,0,0,0.5,0.4,0.9
David Ortiz,BOS,4,1,0.25,0,0,0,1,1,1,0,0,0.25,0.4,0.65
Ichiro Suzuki,MIA,4,1,0.25,0,0,0,0,1,0,1,0,0.25,0.4,0.65
Mike Zunino,SEA,4,1,0.25,0,0,1,1,0,2,0,0,1.0,0.25,1.25
J.P. Arencibia,TB,4,0,0.0,0,0,0,0,1,1,0,1,0.0,0.2,0.2
Robinson Chirinos,TEX,4,0,0.0,0,0,0,0,0,2,0,1,0.0,0.0,0.0
Rajai Davis,DET,4,0,0.0,0,0,0,1,0,1,0,0,0.0,0.0,0.0
Travis Hafner, ,4,0,0.0,0,0,0,0,2,1,0,0,0.0,0.333,0.333
Manny Machado,BAL,4,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Nate McLouth,WAS,4,0,0.0,0,0,0,0,1,0,0,0,0.0,0.2,0.2
Brendan Ryan,NY-A,4,0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
Carlos Santana,CLE,4,0,0.0,0,0,0,1,2,0,0,0,0.0,0.333,0.333
Asdrubal Cabrera,TB,3,2,0.667,1,0,0,2,0,0,0,0,1.0,0.667,1.667
Shin-Soo Choo,TEX,3,2,0.667,0,0,1,1,2,0,0,0,1.667,0.8,2.467
