PA,SO,Age,HR,CS
126,7,28,0,0
8,0,27,0, 
214,20,30,0,4
481,49,23,3,20
8,2,24,0, 
656,19,36,15,4
98,6,20,0,3
7,0,21,0, 
117,13,26,0,0
16,3,17,0, 
36,5,26,0,0
197,14,23,0,0
210,20,23,0,3
55,1,38,0,1
46,16,34,0,0
110,13,26,0,1
119,16,24,1,0
1,0,21,0, 
230,18,28,0,4
36,6,26,0,0
24,11,30,0,0
90,27,27,0,1
199,22,26,0,1
665,59,20,11,7
666,31,34,2,6
8,0,35,0,0
40,12,31,0,0
85,9,29,0,0
5,0,26,0, 
236,17,29,1,3
256,18,28,4,2
19,1,24,0,0
9,1,28,0, 
29,9,21,0,0
547,41,33,5,14
624,23,25,2,6
55,18,30,0,0
645,52,36,23,12
2,1,32,0, 
341,17,31,3,6
3,2,23,0, 
94,11,18,0,1
638,13,32,2,9
93,2,23,0,0
136,11,35,1,2
645,45,27,12,14
5,3,26,0, 
509,16,33,4,6
2,0,22,0, 
26,1,30,0,0
1,0,31,0, 
188,12,30,0,4
465,19,23,3,11
36,3,23,0,0
85,21,29,0,0
1,0,24,0, 
140,9,30,0,1
607,16,31,4,7
3,1,24,0, 
150,5,23,0,4
315,14,28,1,4
327,7,28,2,11
559,34,27,13,2
46,2,22,0,0
680,29,31,3,4
90,7,23,0,0
569,39,30,6,9
542,28,31,4,5
2,0,28,0, 
427,25,21,2,3
15,1,25,0,0
1,0,26,0, 
2,0,25,0, 
23,0,22,0,0
137,7,36,3,6
61,6,30,1,0
29,6,28,0,0
105,8,21,2,0
613,37,24,15,4
47,17,22,0,0
11,3,23,0, 
372,11,34,2,6
335,19,30,5,2
379,22,29,4,3
695,43,29,10,5
107,14,29,0,0
54,11,27,0,0
12,3,21,0,0
31,1,26,2,0
2,0,25,0, 
1,1,25,0, 
312,13,23,6,4
1,1,30,0, 
67,15,27,1,1
469,43,28,4,11
2,1,27,0, 
44,9,22,2,0
28,3,23,0,0
420,17,25,2,2
70,4,31,5,0
660,63,22,8,15
18,2,28,0, 
13,0,25,0,0
145,8,22,1,2
521,42,24,5,8
88,6,31,0,1
1,0,24,0,0
24,1,29,0, 
97,15,33,0,0
704,48,34,28,5
489,15,24,4,5
98,8,23,0,0
294,20,27,2,2
63,6,30,0,1
619,21,28,0,11
560,20,34,3,5
60,13,25,0,0
71,13,25,0,0
24,2,28,0,0
63,4,24,0,0
4,1,27,0, 
2,1,26,0, 
83,7,26,1,0
83,8,28,0,0
43,3,24,0,0
699,14,25,4,3
47,14,30,0,0
8,2,21,0, 
621,27,25,5,18
696,31,31,9,16
495,21,29,1,18
308,11,32,0,5
87,24,25,0,1
676,43,27,1,10
226,29,35,1,3
65,16,35,0,0
3,0,23,0,0
607,34,28,0,18
40,2,25,0,1
76,16,28,0,0
229,13,33,0,0
91,13,32,1,0
85,11,23,3,0
81,13,31,0,0
453,29,26,0,25
185,14,26,0,3
592,42,26,3,9
353,32,25,0,7
38,14,27,0,0
16,1,26,0, 
71,7,29,0,0
48,7,28,1,1
650,41,27,4,11
388,27,29,2,2
482,18,34,17,10
117,11,31,0,0
467,12,29,1,1
435,21,29,4,10
227,15,25,1,3
13,1,42,0,0
634,47,33,2,6
638,34,30,2,8
15,1,27,0,0
98,13,25,0,0
98,12,33,1,1
179,29,29,1,1
14,2,30,0, 
5,1,22,0, 
1,0,26,0, 
12,2,25,0,0
681,38,31,9,5
62,15,31,1,0
404,28,26,0,3
15,2,26,0, 
17,3,21,0,0
16,4,31,0, 
5,0,34,0,0
21,5,27,0,0
38,5,29,0,0
104,6,31,0,1
7,0,24,0, 
44,3,26,0,0
248,13,29,0,4
254,23,23,1,4
91,14,23,0,0
30,13,28,1,0
389,22,34,2,6
651,47,33,18,8
2,0,24,0, 
257,22,29,3,1
5,0,26,0, 
1,1,21,0, 
70,19,33,1,0
355,18,24,0,4
33,1,38,0,0
586,14,36,9,7
88,21,40,0,0
8,2,24,0, 
101,17,33,1,1
620,35,31,6,8
128,14,29,0,1
479,47,27,8,4
659,55,28,22,2
14,5,23,0, 
358,13,27,1,2
276,11,26,4,2
34,3,29,0,0
204,7,27,4,1
25,11,25,0,0
56,6,23,1,0
111,7,33,0,0
312,23,29,1,1
2,0,25,0, 
