SEASON,TEAM,LEAGUE,GP,W,T,L,OTW,OTL,GF,GA,TP,RANK,POSTSEASON
1985 - 1986,SaiPa,Liiga,36,7,2,27,-,-,98,169,16,10,Relegated
1986 - 1987,SaiPa,I-divisioona,44,23,5,16,-,-,205,201,51,5,-
1987 - 1988,SaiPa,I-divisioona,44,30,3,11,-,-,239,166,63,2,Promoted
1988 - 1989,SaiPa,Liiga,44,15,1,28,-,-,171,247,31,10,Did not make playoffs
1989 - 1990,SaiPa,Liiga,44,20,1,23,-,-,172,205,41,8,Did not make playoffs
1990 - 1991,SaiPa,Liiga,44,15,2,27,-,-,164,217,32,12,Relegated
1991 - 1992,SaiPa,I-divisioona,44,19,5,20,-,-,178,154,43,6,-
1992 - 1993,SaiPa,I-divisioona,44,-,-,-,-,-,181,190,44,7,-
1993 - 1994,SaiPa,I-divisioona,46,-,-,-,-,-,199,160,56,3,-
1994 - 1995,SaiPa,I-divisioona,46,34,0,12,-,-,241,137,68,1,Qualification loss
1995 - 1996,SaiPa,I-divisioona,44,28,4,12,-,-,188,124,60,2,Promoted
1996 - 1997,SaiPa,Liiga,50,13,8,29,-,-,118,181,34,11,Did not make playoffs
1997 - 1998,SaiPa,Liiga,48,21,7,20,-,-,135,142,49,6,Quarterfinal loss
1998 - 1999,SaiPa,Liiga,54,25,4,24,-,-,141,153,54,6,Bronze game loss
1999 - 2000,SaiPa,Liiga,54,16,13,25,-,-,154,185,45,9,Did not make playoffs
2000 - 2001,SaiPa,Liiga,56,24,3,29,-,-,152,154,51,10,Did not make playoffs
2001 - 2002,SaiPa,Liiga,56,13,4,39,-,-,124,202,31,13,Did not make playoffs
2002 - 2003,SaiPa,Liiga,56,19,6,31,-,-,134,172,48,11,Did not make playoffs
2003 - 2004,SaiPa,Liiga,56,11,12,33,-,-,127,194,36,12,Did not make playoffs
2004 - 2005,SaiPa,Liiga,56,11,-,33,7,5,145,195,52,12,Did not make playoffs
2005 - 2006,SaiPa,Liiga,56,23,-,21,6,6,149,130,87,7,Quarterfinal loss
2006 - 2007,SaiPa,Liiga,56,20,-,28,4,4,150,181,72,11,Did not make playoffs
2007 - 2008,SaiPa,Liiga,56,15,-,29,5,7,115,155,62,11,Did not make playoffs
2008 - 2009,SaiPa,Liiga,58,17,-,34,4,3,136,174,62,14,Saved in play-out
2009 - 2010,SaiPa,Liiga,58,20,-,27,6,5,154,176,77,11,Did not make playoffs
2010 - 2011,SaiPa,Liiga,60,16,-,31,4,9,137,186,65,12,Did not make playoffs
2011 - 2012,SaiPa,Liiga,60,18,-,24,5,13,155,176,77,11,Did not make playoffs
2012 - 2013,SaiPa,Liiga,60,23,-,24,7,6,162,173,89,9,Playoffs Qualifier loss
2013 - 2014,SaiPa,Liiga,60,26,-,21,9,4,160,134,100,4,Bronze game loss
2014 - 2015,SaiPa,Liiga,60,23,-,21,9,7,151,146,94,8,Quarterfinal loss
