POS,AB,SH,RBI,SO
SS,231,1,42,51
3B,27,0,0,2
P,2,1,0,2
2B,45,4,8,5
C,228,3,24,62
OF,447,1,64,128
LF,16,0,7,2
1B,76,0,7,17
SS,207,4,16,51
3B,6,0,2,1
LF,272,1,48,64
C,124,1,15,23
C,384,2,66,90
2B,317,3,36,36
OF,413,2,64,102
C,143,0,36,34
OF,33,0,5,18
C,343,9,38,97
OF,36,0,5,15
OF,193,6,12,24
SS,9,0,0,3
3B,17,0,6,3
OF,373,6,47,109
P,0,0,0,0
OF,256,0,47,63
OF,179,0,30,58
OF,417,2,54,92
C,25,2,1,11
C,3,0,0,2
2B,116,2,11,27
2B,358,0,68,78
SS,41,3,9,11
OF,55,0,2,9
C,6,0,0,1
1B,163,0,20,22
3B,127,4,9,34
C,427,0,62,66
3B,98,0,6,30
C,378,1,42,71
1B,172,0,25,49
OF,33,0,2,6
OF,78,1,5,24
1B,328,0,41,135
OF,385,1,53,92
C,116,2,8,11
SS,502,3,50,134
P,0,0,0,0
C,47,0,6,24
P,1,0,0,1
SS,371,3,44,29
OF,423,7,52,65
3B,62,0,5,10
C,16,1,1,3
OF,12,1,1,6
C,7,0,0,1
C,133,0,13,18
OF,133,0,32,21
OF,295,6,32,73
OF,54,1,2,13
2B,345,0,28,67
SS,13,0,0,2
OF,253,0,17,46
OF,212,0,35,50
SS,132,2,17,45
OF,119,3,14,44
SS,112,0,12,4
C,267,0,37,91
SS,19,0,2,9
OF,103,1,10,29
2B,335,0,28,53
OF,20,0,4,4
C,299,2,51,48
SS,276,1,33,33
OF,351,2,49,66
OF,155,1,10,48
1B,266,0,30,58
OF,111,0,14,42
SS,259,0,29,93
C,71,0,15,9
OF,225,0,30,39
P,0,0,0,0
1B,247,0,35,36
OF,249,0,26,38
1B,240,0,29,59
1B,295,0,45,65
3B,75,0,2,31
3B,488,1,59,96
C,343,2,68,95
OF,75,0,7,17
3B,229,0,31,27
C,215,0,38,46
OF,221,1,40,55
1B,127,0,34,15
3B,481,0,65,79
2B,181,4,12,33
C,53,1,6,11
1B,456,1,68,113
P,0,0,0,0
SS,435,5,60,76
OF,470,0,88,39
SS,444,1,50,71
SS,3,0,0,0
C,176,2,31,36
OF,23,0,2,7
OF,264,3,33,40
1B,197,4,27,58
C,54,0,8,15
1B,91,1,13,30
SS,61,2,6,9
SS,39,0,1,14
1B,41,0,9,17
SS,439,8,56,64
C,47,1,7,7
1B,411,0,55,86
C,232,2,18,40
OF,37,0,7,4
SS,324,4,34,70
SS,25,0,4,7
C,65,0,4,26
OF,102,2,14,41
OF,302,0,60,53
C,33,2,1,10
C,38,0,0,11
SS,28,1,3,5
C,162,5,23,29
1B,308,0,65,70
OF,224,0,44,68
1B,429,0,46,45
SS,336,6,36,81
2B,132,1,15,15
C,138,2,16,32
3B,237,0,34,73
SS,69,0,3,35
OF,24,0,0,5
P,1,0,0,0
OF,195,5,20,50
1B,77,0,7,11
OF,21,0,1,4
3B,23,0,1,9
C,46,0,3,13
SS,301,1,32,98
P,0,0,0,0
OF,156,0,27,29
C,4,0,0,0
C,86,0,12,22
P,0,0,0,0
P,0,0,0,0
OF,163,0,16,34
OF,7,0,1,0
P,0,0,0,0
SS,384,3,31,90
OF,15,0,0,4
SS,38,1,6,11
1B,273,1,50,49
SS,190,2,20,49
C,125,1,13,26
SS,186,0,29,40
OF,23,0,1,9
SS,419,1,58,89
OF,79,1,5,23
C,5,0,1,1
C,14,0,1,4
OF,76,0,11,31
OF,88,0,19,32
SS,267,0,39,72
SS,46,2,3,6
3B,474,0,83,128
2B,434,5,60,71
OF,104,1,15,16
3B,54,0,7,10
SS,247,4,32,35
P,0,0,0,0
C,322,5,34,71
OF,298,0,48,71
OF,26,1,0,5
OF,375,2,27,106
