IPP,ShPct,iCorsi,Team,A/60,Shots/60,FirstA/60
62.2,8.70,402,Toronto,0.65,5.73,0.35
77.2,16.84,848,Tampa Bay,1.12,8.59,0.72
40.9,3.05,371,Columbus,0.72,3.80,0.35
66.7,4.98,410,Anaheim,0.90,7.93,0.72
76.8,10.64,784,Chicago,1.50,8.65,0.96
32.1,7.58,156,Chicago,0.60,3.05,0.14
64.6,3.44,451,Los Angeles,0.65,7.69,0.29
55.1,13.11,357,Toronto,0.80,4.32,0.44
36.8,4.44,272,NY Rangers,0.71,4.36,0.29
40.3,1.71,505,Tampa Bay,1.09,3.81,0.49
68.6,3.71,687,Chicago,0.90,11.01,0.46
25.6,3.80,373,Chicago,0.49,2.96,0.22
36.2,5.62,196,Montreal,0.67,2.99,0.24
61.0,11.33,586,Philadelphia,0.96,8.29,0.53
29.4,2.59,259,Minnesota,0.42,2.87,0.25
72.7,12.85,527,Boston,1.31,7.57,0.71
74.1,9.11,623,Buffalo,1.08,9.70,0.74
79.4,12.37,607,NY Islanders,0.70,9.96,0.43
32.0,6.29,365,Washington,0.42,4.78,0.21
33.5,5.37,507,Chicago,0.66,3.92,0.24
68.9,10.59,577,Toronto,1.03,9.51,0.59
72.2,7.29,679,NY Rangers,0.58,9.36,0.29
66.0,10.32,503,NY Islanders,1.05,7.20,0.64
58.1,5.63,407,Edmonton,0.85,5.86,0.41
20.8,2.50,300,Pittsburgh,0.51,2.28,0.21
74.0,11.98,291,Colorado,0.64,6.25,0.37
77.5,8.78,612,Columbus,0.72,7.30,0.47
61.9,9.01,370,St. Louis,0.62,8.04,0.45
78.6,10.97,526,Dallas,1.36,6.12,0.83
71.0,10.40,410,Detroit,0.70,7.62,0.43
71.9,10.44,504,Vancouver,1.19,6.92,0.86
68.7,10.46,388,St. Louis,1.14,8.55,0.68
28.3,4.26,557,Detroit,0.58,4.68,0.20
82.9,9.79,540,New Jersey,1.31,7.15,0.83
68.0,9.29,727,Detroit,1.09,9.51,0.77
33.3,3.62,319,San Jose,0.61,3.66,0.24
37.7,4.55,303,Philadelphia,0.53,4.14,0.22
45.8,3.62,301,NY Islanders,0.86,3.60,0.37
27.4,3.05,319,Los Angeles,0.50,2.19,0.22
74.3,15.61,308,Philadelphia,1.02,7.05,0.45
39.4,4.55,552,Winnipeg,0.55,5.39,0.14
72.5,9.79,723,Winnipeg,1.22,8.58,0.78
72.3,8.05,336,Toronto,1.18,6.23,0.72
63.1,13.67,444,Carolina,0.81,6.90,0.46
60.0,6.34,523,Arizona,0.89,7.64,0.46
64.7,5.92,280,Buffalo,0.60,7.07,0.42
31.7,1.23,367,Anaheim,0.53,2.89,0.20
77.4,11.76,588,Colorado,1.11,7.73,0.66
66.1,10.96,376,Nashville,0.42,5.42,0.22
68.2,5.53,608,Washington,0.92,9.60,0.53
81.2,5.73,459,Detroit,1.12,7.94,0.85
24.6,1.56,181,Ottawa,0.51,2.49,0.19
63.8,10.22,373,Philadelphia,0.73,5.84,0.57
67.7,9.04,281,Chicago,0.81,4.64,0.62
69.1,8.54,394,NY Rangers,1.31,9.18,0.71
61.9,6.49,263,Carolina,0.63,6.03,0.39
84.3,11.11,680,Dallas,1.45,8.74,0.69
22.6,2.68,358,Washington,0.40,2.50,0.12
18.4,0.00,185,New Jersey,0.27,2.22,0.18
31.9,5.66,458,St. Louis,0.49,3.22,0.24
28.8,2.33,194,Dallas,0.58,3.85,0.18
80.4,9.93,765,Vancouver,1.56,9.57,0.97
33.1,3.21,561,Montreal,0.68,5.14,0.35
26.0,3.82,536,Carolina,0.46,5.05,0.23
67.4,5.14,403,Los Angeles,0.77,8.25,0.42
75.0,6.92,227,Chicago,0.91,5.66,0.57
64.5,8.82,535,Arizona,0.95,6.62,0.54
75.0,7.17,494,Columbus,1.07,7.00,0.57
IPP,Sh%,iCorsi,Team,A/60,Shots/60,FirstA/60
72.6,11.70,504,Arizona,0.94,6.59,0.60
33.7,5.51,312,Columbus,0.61,3.53,0.19
74.7,7.28,511,Boston,0.89,7.94,0.55
69.5,15.89,370,Calgary,1.17,5.22,0.68
35.3,3.77,369,Anaheim,0.52,3.42,0.28
30.9,2.44,176,NY Islanders,0.60,3.29,0.36
36.4,4.89,441,Colorado,0.55,3.25,0.19
68.4,9.48,618,Minnesota,0.79,8.55,0.37
33.3,3.64,316,Detroit,0.62,5.14,0.28
40.3,5.69,305,New Jersey,0.58,2.95,0.36
68.4,12.64,318,Buffalo,1.23,4.75,0.60
59.2,11.43,513,Winnipeg,0.95,5.94,0.64
73.5,9.27,459,Florida,0.45,9.77,0.19
65.7,7.56,612,Winnipeg,0.88,7.47,0.46
33.8,3.70,269,Buffalo,0.55,2.81,0.13
40.4,3.41,451,Toronto,0.74,4.32,0.34
27.3,2.41,374,St. Louis,0.48,3.45,0.08
63.0,8.81,428,Buffalo,0.87,5.17,0.57
