USG%,eFG%,Date,STL%,TS%,Rk,BLK%,GS,AST%
15.5,.250,1988-04-15,0.0,.250,74,6.1,0,0.0
9.9,.667,1988-04-03,3.5,.667,70,3.8,0,0.0
5.2, ,1988-01-09,0.0, ,29,0.0,0,0.0
0.0, ,1988-01-06,0.0, ,27,0.0,0,0.0
18.3,.333,1988-04-13,0.0,.525,73,0.0,0,8.2
12.7, ,1987-11-07,0.0,.568,2,0.0,0,0.0
22.3,.000,1988-01-26,24.6,.000,38,0.0,0,0.0
9.8,.500,1988-04-22,0.0,.500,78,0.0,0,6.8
4.8,1.000,1988-04-01,0.0,1.000,69,0.0,0,0.0
11.9,.333,1988-02-17,2.2,.436,49,0.0,1,0.0
0.0, ,1988-02-12,0.0, ,46,0.0,0,0.0
20.0,.778,1987-12-20,0.0,.816,20,4.9,0,18.0
11.9,.000,1988-04-17,0.0,.000,75,0.0,0,0.0
13.3,.500,1988-03-04,0.0,.694,56,0.0,0,0.0
12.2,1.000,1987-11-06,0.0,1.000,1,0.0,0,38.7
25.4,.000,1987-12-09,0.0,.000,16,0.0,0,0.0
27.4,.625,1988-01-20,0.0,.666,35,7.6,0,0.0
12.6,.667,1987-11-21,0.0,.630,10,0.0,0,0.0
0.0, ,1987-11-09,0.0, ,3,0.0,0,0.0
11.7,.250,1988-04-08,3.3,.250,71,0.0,0,0.0
1.8,.000,1988-02-14,0.0,.000,47,2.6,0,0.0
13.7,.000,1987-11-28,2.8,.129,14,0.0,0,0.0
7.8,.500,1988-01-22,0.0,.500,36,0.0,0,0.0
9.8,.250,1988-03-30,0.0,.205,68,0.0,0,5.5
