Team,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,SH,SF,GIDP,OBP,SLG,OPS
West Virginia,0.276,139,4757,747,1312,267,36,97,668,441,1044,166,78,42,34,69,0.343,0.408,0.751
Charleston,0.265,139,4737,705,1254,251,33,109,626,457,974,92,36,19,39,105,0.334,0.401,0.735
Delmarva,0.261,139,4678,636,1223,265,35,91,564,426,1209,141,50,35,35,90,0.331,0.391,0.722
Columbus,0.261,136,4501,641,1174,216,38,74,573,444,878,176,79,41,48,106,0.331,0.375,0.706
Greensboro,0.261,138,4695,690,1224,218,18,161,631,422,1071,48,28,40,30,119,0.33,0.418,0.748
Kannapolis,0.259,135,4509,613,1169,244,26,93,549,382,1002,113,48,39,43,89,0.323,0.387,0.71
Asheville,0.259,139,4676,693,1211,254,27,112,626,428,1214,227,77,45,34,75,0.328,0.397,0.725
Hickory,0.257,139,4703,614,1208,236,26,84,558,375,973,81,47,49,46,95,0.317,0.372,0.689
Lakewood,0.257,140,4768,651,1224,246,21,83,574,459,1009,103,42,59,45,94,0.327,0.369,0.697
Greenville,0.257,139,4738,640,1216,241,32,96,580,468,1096,121,42,8,25,121,0.331,0.382,0.712
Rome,0.255,137,4635,571,1180,225,30,91,508,371,1045,116,58,36,31,82,0.312,0.375,0.687
Lake County,0.254,140,4520,647,1146,219,31,78,577,463,991,151,62,60,44,81,0.33,0.367,0.698
Augusta,0.253,138,4653,651,1178,212,36,81,576,376,1010,163,56,43,47,83,0.317,0.366,0.683
Hagerstown,0.251,139,4650,608,1166,249,20,99,546,448,1060,110,56,50,36,102,0.323,0.377,0.699
Savannah,0.25,137,4600,540,1152,236,34,62,483,352,1092,114,52,34,38,96,0.308,0.357,0.665
Lexington,0.238,138,4582,549,1089,219,33,95,506,393,1180,151,35,43,39,100,0.307,0.362,0.669
