Title,Books,©,Chapters,Pages,Kanji,Audience Emphasis,Writing Emphasis,Spoken Emphasis,Audio,Workbook,Reputation,ISBN
AIJ,4,1998,Unk,Unk,Unk,High School,Parallel,Technical,Yes,Yes,Unknown,088727420X
ColJ,1,2003,15,312,200+,Self-study,Integrated,Conversational,Yes,No,Average,0415194784
CJ,2,2005,26,496,100+,College,Kanji+rubi,Technical,Yes,No,Average,080483377X
EJ,2,2005,27,835,200+,College,Kanji+rubi,Technical,Yes,No,Good,0804835047
Genki,2,1999,33,697,303+,College,Kanji,Technical,Yes,Yes,Great,4789009637
IGtCJ,1,2002,25,432,0,Self-study,Hepburn,Unk,Yes,No,Poor,0028641795
Ima,2,2004,Unk,Unk,Unk,Unk,Unk,Unk,Yes,Yes,Unknown,1876209151
ItMJ B&L,1,2002,52,481,1100+,College,Kanji,Conversational,No,Yes,Great,052154887X
ItMJ M&M,1,1977,30,425,Unk,Classroom,Seperate,Conversational,Yes,No,Average,4789000583
JfBP,3,1996,UNK,796,200+,Self,Kana or Hepburn,Business,Yes,Yes,Average,Roumaji ED 4770018827 Kana ED 4770019874
JfD,1,2002,20,408,None,Self-Study,Hepburn,Conversational,Yes,No,Poor,0764554298
JfE,1,Unk,Unk,384,Unk,Self-Study,Parallel,Conversational,No,No,Great,0870408534
JfYP,3,1998,45,602,160,Junior-high,Kanji+Rubi,Conversational,Yes,Yes,Average,477002178X
