SEASON,TEAM,LEAGUE,GP,W,T,L,OTW,OTL,GF,GA,TP,RANK,POSTSEASON
2002 - 2003,NWCAA Stampeders Minor Midget,SAML,33,-,-,-,-,-,-,-,36,6,-
2003 - 2004,NWCAA Stampeders Minor Midget,SAML,33,-,-,-,-,-,-,-,45,1,-
2004 - 2005,NWCAA Stampeders Minor Midget,SAML,39,-,-,-,-,-,-,-,53,3,-
2005 - 2006,NWCAA Stampeders Minor Midget,SAML,36,-,-,-,-,-,-,-,47,4,-
2006 - 2007,NWCAA Stampeders Minor Midget,SAML,36,-,-,-,-,-,-,-,28,13,-
2007 - 2008,NWCAA Stampeders Minor Midget,SAML,32,-,-,-,-,-,-,-,46,2,-
2008 - 2009,NWCAA Stampeders Minor Midget,AMMHL,32,-,-,-,-,-,-,-,17,12,-
2009 - 2010,NWCAA Stampeders Minor Midget,AMMHL,-,-,-,-,-,-,-,-,-,-,-
2010 - 2011,NWCAA Stampeders Minor Midget,AMMHL,32,9,4,19,-,-,101,152,22,6,Qualification loss
2011 - 2012,NWCAA Stampeders Minor Midget,AMMHL,-,-,-,-,-,-,-,-,-,-,-
2014 - 2015,NWCAA Stampeders Minor Midget,AMMHL,37,28,4,5,-,-,207,119,60,1,-
