WAR,RAR,Rbat,WAA,Rbaser,Acquired,Age,Rpos,Rdp,oWAR,dWAR
-0.1,-1,-4,-0.1,-0,Free Agency,30,4,0,-0.1,-0.0
-0.1,0,-3,-0.3,-0,Free Agency,34,1,-0,-0.1,0.1
2.2,24,8,0.6,1,Amateur Draft,24,3,-1,2.8,-0.2
-0.2,-2,-2,-0.3,-1,Free Agency,34,0,0,-0.2,-0.0
-0.1,-0,-0,-0.1,0,Amateur Draft,23,0,-0,-0.1,0.0
0.2,2,-3,0.2,0,Free Agency,30,5,0,0.2,-0.0
0.1,1,-10,-0.3,0,Traded,22,1,-0,-0.6,0.7
-0.0,-0,-0,-0.0,0,Traded,27,0,0,-0.0,0.0
-0.0,-0,-2,-0.0,-0,Amateur Draft,27,2,0,-0.0,-0.0
-0.1,-1,-3,-0.1,-0,Traded,24,1,0,-0.1,-0.0
0.0,0,0,0.0,0,Amateur Draft,26,0,0,0.0,-0.0
0.0,0,0,0.0,0,Purchased,29,0,0,0.0,-0.0
-0.4,-3,-2,-0.6,-0,Free Agency,33,0,-0,-0.1,-0.3
1.6,18,5,0.1,1,Traded,31,-4,1,1.6,-0.5
0.0,0,0,0.0,0,Free Agency,32,0,0,0.0,-0.0
-0.0,-0,-1,-0.0,0,Amateur Draft,24,0,0,-0.0,0.0
-0.2,-2,-4,-0.2,-0,Free Agency,30,3,-0,-0.2,-0.0
-0.5,-4,-5,-0.7,0,Free Agency,29,-1,-0,-0.5,-0.1
-0.1,-1,-3,-0.1,-0,Amateur Draft,24,2,0,-0.1,0.0
0.0,0,0,0.0,0,Amateur Draft,24,0,0,0.0,-0.0
0.1,0,0,0.0,0,Free Agency,27,0,0,0.1,0.0
2.1,23,15,0.4,-2,Traded,28,2,-3,3.0,-0.7
-1.1,-6,-8,-2.8,-0,Traded,33,3,0,1.1,-1.9
0.0,0,0,0.0,0,Traded,25,0,0,0.0,0.0
0.6,8,4,-0.4,-2,Amateur Draft,33,-4,-0,0.8,-0.7
0.0,0,0,0.0,0,Free Agency,30,0,0,0.0,0.0
-0.0,-0,-0,-0.0,0,Amateur Free Agent,24,0,0,-0.0,0.0
0.0,0,0,0.0,0,Traded,28,0,0,0.0,-0.0
3.7,37,17,2.1,1,Amateur Draft,20,-5,2,3.2,-0.1
0.0,0,0,0.0,0,Purchased,28,0,0,0.0,0.0
0.0,0,-1,0.0,0,Traded,26,1,0,0.0,-0.0
-0.0,-0,-0,-0.0,0,Free Agency,31,0,0,-0.0,-0.0
0.0,0,0,0.0,0,Traded,26,0,0,0.0,-0.0
