Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Blake Swihart,Sal,18,63,6,16,1,3,0,7,2,0,7,11,0.254,0.329,0.365,0.694
Christian Vazquez,Por,16,52,14,13,3,0,1,10,2,0,12,5,0.25,0.394,0.365,0.759
Jonathan Hee,Paw,1,4,0,1,0,0,0,0,0,0,0,2,0.25,0.25,0.25,0.5
Cody Koback,Gre,19,65,7,16,2,0,0,6,6,1,9,16,0.246,0.338,0.277,0.615
Jose Iglesias,Paw,17,62,11,15,2,0,3,10,3,1,3,11,0.242,0.288,0.419,0.707
Tony Thomas,Por,21,87,12,21,8,3,2,18,1,2,7,22,0.241,0.306,0.471,0.777
J.C. Linares,PawPor,19,61,13,14,3,1,1,8,0,0,10,12,0.23,0.356,0.361,0.717
Jordan Weems,Gre,15,48,5,11,3,0,0,3,1,1,7,10,0.229,0.327,0.292,0.619
Derrik Gibson,Por,10,27,4,6,2,0,1,4,1,1,6,6,0.222,0.364,0.407,0.771
Carson Blair,Sal,7,18,2,4,1,1,0,0,1,0,3,8,0.222,0.333,0.389,0.722
David Ortiz,Paw,5,18,3,4,0,0,1,4,0,0,0,6,0.222,0.222,0.389,0.611
Shannon Wilkerson,Por,21,90,13,20,4,2,1,11,2,1,4,19,0.222,0.26,0.344,0.605
Dan Butler,Paw,13,42,7,9,3,0,2,5,1,0,7,14,0.214,0.34,0.429,0.769
Henry Ramos,Sal,19,62,6,13,1,0,0,3,3,4,10,20,0.21,0.329,0.226,0.555
Aneury Tavarez,Gre,23,86,11,18,6,1,1,13,3,3,5,25,0.209,0.258,0.337,0.595
Boss Moanaroa,Gre,24,82,10,17,7,1,0,11,0,0,15,30,0.207,0.33,0.317,0.647
Brandon Jacobs,Sal,22,77,10,15,7,0,1,10,3,3,10,26,0.195,0.304,0.325,0.629
Jose Vinicio,Gre,20,77,7,15,1,2,1,4,4,2,2,21,0.195,0.244,0.299,0.543
Alberto Rosario,PawPor,7,26,2,5,0,0,0,3,0,0,1,2,0.192,0.25,0.192,0.442
David Renfroe,Sal,17,63,7,12,4,0,1,8,0,1,6,17,0.19,0.264,0.302,0.565
Felix Sanchez,Sal,14,49,8,9,1,0,1,6,9,4,4,23,0.184,0.255,0.265,0.52
Kendrick Perkins,Gre,7,23,3,4,1,0,0,1,0,2,2,8,0.174,0.24,0.217,0.457
Bryan Johns,SalGre,5,18,4,3,1,0,0,2,0,1,1,7,0.167,0.25,0.222,0.472
Mookie Betts,Gre,21,70,13,11,1,1,2,7,3,1,19,9,0.157,0.333,0.286,0.619
Stephen Drew,Por,4,13,1,2,1,0,1,3,0,0,2,3,0.154,0.25,0.462,0.712
