I,D,B,E,F,H
5,"Fri Nov 14, 2008",16,Hurricanes,Thrashers,ET
3,"Fri Mar 6, 2009",66,Stars,Ducks,PT
1,"Wed Nov 5, 2008",15,Blues,Ducks,PT
1,"Sat Oct 11, 2008",2,Thrashers,Panthers,ET
2,"Tue Mar 24, 2009",73,Ducks,Predators,CT
2,"Tue Oct 21, 2008",7,Ducks,Maple Leafs,ET
4,"Thu Nov 6, 2008",13,Islanders,Thrashers,ET
2,"Sun Nov 16, 2008",19,Kings,Ducks,PT
2,"Fri Nov 7, 2008",16,Stars,Ducks,PT
2,"Tue Nov 4, 2008",14,Ducks,Kings,PT
1,"Wed Oct 15, 2008",4,Oilers,Ducks,PT
2,"Tue Dec 16, 2008",32,Rangers,Ducks,PT
1,"Sat Feb 21, 2009",61,Ducks,Blue Jackets,ET
2,"Mon Nov 24, 2008",23,Avalanche,Ducks,PT
2,"Thu Oct 30, 2008",10,Thrashers,Rangers,ET
2,"Sun Nov 30, 2008",25,Ducks,Hurricanes,ET
1,"Sun Apr 5, 2009",80,Sharks,Ducks,PT
3,"Tue Oct 28, 2008",9,Flyers,Thrashers,ET
 ,"Thu Oct 9, 2008",1,Ducks,Sharks,PT
2,"Thu Jan 8, 2009",42,Ducks,Kings,PT
2,"Sat Feb 28, 2009",64,Ducks,Stars,CT
2,"Thu Oct 16, 2008",4,Devils,Thrashers,ET
2,"Mon Oct 27, 2008",10,Ducks,Blue Jackets,ET
3,"Wed Dec 10, 2008",29,Blues,Ducks,PT
1,"Fri Nov 7, 2008",14,Thrashers,Sabres,ET
1,"Wed Mar 25, 2009",74,Ducks,Avalanche,MT
2,"Fri Feb 20, 2009",60,Ducks,Red Wings,ET
5,"Fri Nov 14, 2008",18,Predators,Ducks,PT
2,"Sun Jan 4, 2009",40,Coyotes,Ducks,PT
3,"Tue Mar 3, 2009",65,Ducks,Blackhawks,CT
1,"Mon Dec 1, 2008",26,Ducks,Red Wings,ET
3,"Sun Mar 22, 2009",72,Coyotes,Ducks,PT
3,"Tue Oct 21, 2008",6,Thrashers,Lightning,ET
1,"Sun Nov 2, 2008",12,Panthers,Thrashers,ET
1,"Sat Oct 25, 2008",8,Thrashers,Bruins,ET
1,"Wed Jan 21, 2009",49,Ducks,Islanders,ET
5,"Fri Apr 10, 2009",81,Stars,Ducks,PT
1,"Fri Jan 9, 2009",43,Lightning,Ducks,PT
2,"Sat Apr 4, 2009",79,Ducks,Sharks,PT
1,"Thu Dec 11, 2008",30,Ducks,Sharks,PT
1,"Tue Dec 23, 2008",35,Ducks,Flames,MT
2,"Wed Oct 29, 2008",11,Red Wings,Ducks,PT
4,"Sun Mar 15, 2009",69,Sharks,Ducks,PT
3,"Wed Dec 31, 2008",38,Blue Jackets,Ducks,PT
2,"Fri Nov 21, 2008",21,Ducks,Blues,CT
3,"Sun Oct 12, 2008",2,Coyotes,Ducks,PT
3,"Tue Jan 20, 2009",48,Ducks,Rangers,ET
1,"Sat Jan 17, 2009",47,Ducks,Wild,CT
2,"Thu Feb 26, 2009",63,Ducks,Bruins,ET
