RAR,WAA,Acquired,G,Pos Summary,Rbat
-3,-0.3,Free Agency,28,1,-11
0,0.0,Waivers,2,/1,0
1,0.1,Amateur Draft,32,1,-7
0,0.0,Waivers,25,1,0
8,-0.7,Free Agency,119,*4,-5
5,0.4,Amateur Draft,24,5/9647,-2
-0,-0.0,Free Agency,20,1,-5
0,0.0,Traded,18,1,0
0,0.0,Traded,64,1,0
18,1.0,Free Agency,76,3/7D9,12
2,0.3,Amateur Draft,47,1,-2
27,1.4,Amateur Draft,113,5,9
-2,-1.0,Free Agency,62,3/9D,-5
0,0.0,Amateur Draft,9,/1,0
1,-0.6,Purchased,67,2,-12
-5,-0.7,Amateur Draft,19,/879,-2
-1,-0.1,Traded,20,1,-5
0,0.0,Free Agency,77,1,0
14,0.9,Amateur Draft,55,73,1
43,2.8,Traded,137,*8,1
-3,-0.5,Amateur Draft,18,5/7,-2
20,0.7,Amateur Draft,121,*98/7,-0
0,0.0,Free Agency,14,1,0
-2,-0.3,Amateur Draft,31,1,-10
10,-0.1,Free Agency,111,978,2
30,2.2,Amateur Draft,82,2,11
-2,-0.8,Traded,49,3,-6
0,0.0,Waivers,6,/1,0
