Player,Span,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,5,10
JM Anderson (Eng),2003-2014,8,16,2177,1020,53,7/43,11/71,19.24,2.81,41.0,6,2
AV Bedser (Eng),1947-1954,6,12,2289,829,41,7/44,14/99,20.21,2.17,55.8,4,1
FS Trueman (Eng),1957-1964,5,10,1299,528,32,5/27,9/104,16.5,2.43,40.5,2,0
SK Warne (Aus),1993-2005,4,8,1290,514,29,6/33,8/70,17.72,2.39,44.4,1,0
JB Statham (Eng),1954-1962,6,12,1608,640,28,5/31,7/77,22.85,2.38,57.4,2,0
JA Snow (Eng),1965-1976,6,12,1806,912,26,5/92,8/186,35.07,3.02,69.4,1,0
SCJ Broad (Eng),2008-2014,6,12,1312,581,25,6/46,8/76,23.24,2.65,52.4,1,0
IT Botham (Eng),1977-1989,7,12,1541,709,25,6/34,9/93,28.36,2.76,61.6,2,0
RJ Hadlee (NZ),1973-1990,5,8,1459,649,24,6/80,10/140,27.04,2.66,60.7,1,1
RGD Willis (Eng),1977-1983,5,10,1081,481,21,5/65,9/147,22.9,2.66,51.4,2,0
PAJ DeFreitas (Eng),1988-1994,4,7,832,407,20,5/53,9/165,20.35,2.93,41.6,2,0
CV Grimmett (Aus),1930-1934,2,4,1005,321,18,5/81,10/201,17.83,1.91,55.8,3,1
ARC Fraser (Eng),1989-1998,4,7,1047,417,18,5/60,10/122,23.16,2.38,58.1,2,1
SJ Harmison (Eng),2002-2005,4,8,1038,458,17,3/51,6/131,26.94,2.64,61.0,0,0
A Flintoff (Eng),1998-2006,7,13,1404,761,17,3/52,4/90,44.76,3.25,82.5,0,0
TM Alderman (Aus),1981-1989,2,4,468,231,16,5/62,9/130,14.43,2.96,29.2,2,0
MJ Hoggard (Eng),2002-2006,4,8,1021,602,16,4/105,5/142,37.62,3.53,63.8,0,0
TT Bresnan (Eng),2011-2012,2,4,462,237,15,5/48,8/141,15.8,3.07,30.8,1,0
DK Lillee (Aus),1972-1981,2,4,502,155,14,5/46,8/80,11.07,1.85,35.8,1,0
MD Marshall (WI),1980-1991,3,6,773,291,14,6/69,7/92,20.78,2.25,55.2,1,0
WJ O'Reilly (Aus),1934-1938,2,3,808,293,14,7/54,11/129,20.92,2.17,57.7,1,1
K Farnes (Eng),1934-1938,2,4,758,363,14,5/77,10/179,25.92,2.87,54.1,2,1
DL Underwood (Eng),1966-1977,5,10,1038,367,14,5/52,6/69,26.21,2.12,74.1,1,0
JC Laker (Eng),1948-1957,3,5,1315,424,14,4/58,6/87,30.28,1.93,93.9,0,0
AR Caddick (Eng),1993-2001,4,8,845,507,14,3/32,5/187,36.21,3.6,60.3,0,0
K Higgs (Eng),1966-1967,2,4,532,223,13,4/35,7/180,17.15,2.51,40.9,0,0
CEL Ambrose (WI),1988-1991,2,4,660,244,13,5/74,8/135,18.76,2.21,50.7,1,0
KR Miller (Aus),1948-1956,3,4,690,290,13,4/69,7/163,22.3,2.52,53.0,0,0
GD McGrath (Aus),1997-2001,2,4,436,187,12,5/49,7/107,15.58,2.57,36.3,1,0
NGB Cook (Eng),1983-1989,2,3,732,241,12,5/63,9/150,20.08,1.97,61.0,1,0
Z Khan (India),2002-2007,2,3,444,244,12,5/75,9/134,20.33,3.29,37.0,1,0
AW Greig (Eng),1972-1977,4,8,951,425,12,4/33,7/134,35.41,2.68,79.2,0,0
DG Cork (Eng),1995-2002,4,8,840,515,12,4/60,4/125,42.91,3.67,70.0,0,0
M Muralitharan (SL),2006-2006,1,2,366,132,11,8/70,11/132,12.0,2.16,33.2,1,1
MG Hughes (Aus),1989-1993,2,4,440,219,11,5/92,7/133,19.9,2.98,40.0,1,0
W Rhodes (Eng),1899-1921,3,5,643,246,11,4/58,7/118,22.36,2.29,58.4,0,0
R Appleyard (Eng),1954-1956,3,6,748,250,11,5/51,7/123,22.72,2.0,68.0,1,0
SM Pollock (SA),1998-2003,2,4,693,258,11,6/39,8/104,23.45,2.23,63.0,1,0
JH Wardle (Eng),1951-1955,4,8,1194,270,11,4/24,5/57,24.54,1.35,108.5,0,0
JG Bracewell (NZ),1983-1990,3,5,594,311,11,4/108,6/196,28.27,3.14,54.0,0,0
M Hendrick (Eng),1976-1981,5,10,1154,416,11,2/43,4/102,37.81,2.16,104.9,0,0
PM Pollock (SA),1965-1965,1,2,287,87,10,5/34,10/87,8.7,1.81,28.7,2,1
KCG Benjamin (WI),1995-1995,1,2,357,174,10,5/69,10/174,17.4,2.92,35.7,2,1
GG Arnold (Eng),1967-1973,2,4,558,194,10,5/131,7/154,19.4,2.08,55.8,1,0
AME Roberts (WI),1976-1980,2,4,552,202,10,5/72,8/129,20.2,2.19,55.2,1,0
PH Edmonds (Eng),1978-1986,3,5,881,288,10,4/44,6/65,28.8,1.96,88.1,0,0
D Gough (Eng),1998-2001,3,6,554,354,10,4/116,5/172,35.4,3.83,55.4,0,0
