Batter,Team,AB,H,AVG,2B,3B,HR,RBI,BB,K,SB,CS,SLG,OBP,OPS
Billy Hamilton,CIN,6,2,0.333,1,0,0,0,0,0,0,0,0.5,0.333,0.833
Derek Norris,SD,5,2,0.4,1,0,0,1,0,2,0,0,0.6,0.4,1.0
Brayan Pena,CIN,5,2,0.4,1,0,0,0,0,0,0,0,0.6,0.4,1.0
Brandon Phillips,CIN,5,2,0.4,0,0,0,2,0,3,0,0,0.4,0.4,0.8
Jay Bruce,CIN,5,1,0.2,0,0,0,0,1,0,0,0,0.2,0.333,0.533
Todd Frazier,CIN,5,1,0.2,0,0,1,2,1,3,3,0,0.8,0.333,1.133
Lucas Duda,NY-N,4,3,0.75,0,0,1,2,0,0,0,0,1.5,0.75,2.25
Ryan Howard,PHI,4,3,0.75,0,0,1,1,0,0,0,0,1.5,0.75,2.25
Ben Revere,PHI,4,3,0.75,2,1,0,0,0,0,0,0,1.75,0.75,2.5
Will Venable,SD,4,3,0.75,1,0,1,2,0,0,0,0,1.75,0.75,2.5
Khris Davis,MIL,4,2,0.5,0,0,0,0,0,0,0,0,0.5,0.5,1.0
Wilmer Flores,NY-N,4,2,0.5,1,0,0,2,0,0,0,0,0.75,0.5,1.25
Curtis Granderson,NY-N,4,2,0.5,0,0,0,0,0,1,0,0,0.5,0.5,1.0
Marlon Byrd,CIN,4,1,0.25,0,0,0,2,2,1,2,1,0.25,0.429,0.679
Zack Cozart,CIN,4,1,0.25,0,0,0,0,0,0,0,0,0.25,0.25,0.5
Luis Sardinas,MIL,4,1,0.25,0,0,0,0,0,1,0,0,0.25,0.25,0.5
Cody Asche,PHI,4,0,0.0,0,0,0,0,0,2,0,0,0.0,0.0,0.0
Odubel Herrera,PHI,3,2,0.667,0,0,0,0,0,1,0,0,0.667,0.667,1.333
Jarrod Saltalamacchia,AZ,3,2,0.667,1,0,0,0,0,0,0,0,1.0,0.667,1.667
Steven Souza,TB,3,2,0.667,0,0,0,1,0,1,0,0,0.667,0.667,1.333
Yasmany Tomas,AZ,3,2,0.667,1,0,0,0,0,1,0,0,1.0,0.667,1.667
Justin Upton,SD,3,2,0.667,0,0,0,0,0,0,0,0,0.667,0.667,1.333
Joey Votto,CIN,3,2,0.667,0,0,0,0,3,0,0,0,0.667,0.833,1.5
Yonder Alonso,SD,3,1,0.333,0,0,0,1,0,0,0,0,0.333,0.333,0.667
Asdrubal Cabrera,TB,3,1,0.333,0,0,1,1,0,1,0,0,1.333,0.333,1.667
Brandon Crawford,SF,3,1,0.333,0,0,0,0,0,1,0,0,0.333,0.333,0.667
David DeJesus,ANA,3,1,0.333,1,0,0,1,0,0,0,0,0.667,0.333,1.0
Matt Duffy,SF,3,1,0.333,0,0,0,0,0,1,0,0,0.333,0.333,0.667
Kevin Kiermaier,TB,3,1,0.333,0,1,0,0,0,0,0,0,1.0,0.333,1.333
Juan Lagares,NY-N,3,1,0.333,0,0,0,0,0,0,0,0,0.333,0.333,0.667
Evan Longoria,TB,3,1,0.333,0,0,0,1,0,1,1,0,0.333,0.333,0.667
Kris Negron,CIN,3,1,0.333,0,0,0,0,0,1,0,1,0.333,0.333,0.667
Chris Owings,AZ,3,1,0.333,0,0,0,0,0,1,0,0,0.333,0.333,0.667
Angel Pagan,SF,3,1,0.333,0,0,0,0,0,0,0,0,0.333,0.333,0.667
Joe Panik,SF,3,1,0.333,0,0,0,0,0,1,0,0,0.333,0.333,0.667
David Peralta,AZ,3,1,0.333,1,0,0,2,0,0,0,0,0.667,0.333,1.0
Buster Posey,SF,3,1,0.333,0,0,1,2,0,0,0,0,1.333,0.333,1.667
Yangervis Solarte,SD,3,1,0.333,0,0,0,0,0,0,0,0,0.333,0.333,0.667
Cory Spangenberg,SD,3,1,0.333,0,0,0,0,0,0,0,0,0.333,0.333,0.667
Ruben Tejada,NY-N,3,1,0.333,1,0,0,0,0,0,0,0,0.667,0.333,1.0
Brandon Belt,SF,3,0,0.0,0,0,0,0,0,2,0,0,0.0,0.0,0.0
Yoenis Cespedes,DET,3,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Anthony DeSclafani,CIN,3,0,0.0,0,0,0,1,0,1,0,0,0.0,0.0,0.0
Hector Gomez,MIL,3,0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
Ender Inciarte,AZ,3,0,0.0,0,0,0,0,0,2,0,0,0.0,0.0,0.0
Matt Kemp,SD,3,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Gerardo Parra,MIL,3,0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
Hunter Pence,SF,3,0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
Cliff Pennington,AZ,3,0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0
Darin Ruf,PHI,3,0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
Collin Cowgill,ANA,2,2,1.0,0,0,0,0,0,0,0,0,1.0,1.0,2.0
Carlos Gonzalez,COL,2,2,1.0,1,0,0,1,0,0,0,0,1.5,1.0,2.5
Clint Barmes,SD,2,1,0.5,1,0,0,1,1,0,0,0,1.0,0.667,1.667
Adrian Beltre,TEX,2,1,0.5,1,0,0,0,0,0,0,0,1.0,0.5,1.5
Darrell Ceciliani,NY-N,2,1,0.5,0,0,1,1,0,0,0,0,2.0,0.5,2.5
Logan Forsythe,TB,2,1,0.5,0,0,0,1,0,0,0,0,0.5,0.667,1.167
Freddy Galvis,PHI,2,1,0.5,0,0,0,0,1,1,0,0,0.5,0.667,1.167
Dilson Herrera,NY-N,2,1,0.5,0,0,1,1,0,0,0,0,2.0,0.5,2.5
