SEASON,TEAM,LEAGUE,GP,W,T,L,OTW,OTL,GF,GA,TP,RANK,POSTSEASON
1988 - 1989,MODO Hockey,SHL,40,17,3,20,-,-,148,170,37,9,Did not make playoffs
1989 - 1990,MODO Hockey,SHL,22,7,3,12,-,-,79,101,17,11,Saved in relegation
 ,MODO Hockey,Allsvenskan,18,12,2,4,-,-,92,53,26,2,-
1990 - 1991,MODO Hockey,SHL,40,13,7,20,-,-,133,164,33,10,Did not make playoffs
1991 - 1992,MODO Hockey,SHL,40,6,11,23,-,-,118,192,23,10,Did not make playoffs
1992 - 1993,MODO Hockey,SHL,40,17,6,17,-,-,145,140,40,5,Quarterfinal loss
1993 - 1994,MODO Hockey,SHL,40,17,4,19,-,-,141,151,38,8,Final loss
1994 - 1995,MODO Hockey,SHL,40,8,10,22,-,-,120,140,26,10,Did not make playoffs
1995 - 1996,MODO Hockey,SHL,40,15,12,13,-,-,126,133,42,6,Semifinal loss
1996 - 1997,MODO Hockey,SHL,50,17,6,27,-,-,136,167,40,10,Did not make playoffs
1997 - 1998,MODO Hockey,SHL,46,20,6,20,-,-,129,123,46,6,Semifinal loss
1998 - 1999,MODO Hockey,SHL,50,30,5,10,3,2,168,100,103,1,Final loss
1999 - 2000,MODO Hockey,SHL,50,24,0,19,4,3,149,134,83,6,Final loss
2000 - 2001,MODO Hockey,SHL,50,18,0,16,9,7,133,139,79,4,Quarterfinal loss
2001 - 2002,MODO Hockey,SHL,50,25,0,14,7,4,172,136,93,2,Final loss
2002 - 2003,MODO Hockey,SHL,50,21,0,21,7,1,140,144,78,7,Quarterfinal loss
2003 - 2004,MODO Hockey,SHL,50,16,0,21,7,6,113,141,68,8,Quarterfinal loss
2004 - 2005,MODO Hockey,SHL,50,21,5,17,2,5,143,139,77,6,Quarterfinal loss
2005 - 2006,MODO Hockey,SHL,50,24,8,17,0,1,129,107,81,6,Quarterfinal loss
2006 - 2007,MODO Hockey,SHL,55,24,4,21,3,3,159,140,85,3,Champion
2007 - 2008,MODO Hockey,SHL,55,26,1,22,5,1,153,150,90,3,Quarterfinal loss
2008 - 2009,MODO Hockey,SHL,55,20,2,27,4,2,153,177,72,9,Did not make playoffs
2009 - 2010,MODO Hockey,SHL,55,16,8,20,7,4,161,150,74,9,Did not make playoffs
2010 - 2011,MODO Hockey,SHL,55,17,-,25,6,7,147,153,70,12,Saved in relegation
 ,MODO Hockey,Kvalserien SHL,10,5,-,1,1,3,30,15,20,2,Saved in relegation
2011 - 2012,MODO Hockey,SHL,55,19,-,22,8,6,146,147,79,8,Quarterfinal loss
2012 - 2013,MODO Hockey,SHL,55,19,-,19,7,10,135,129,81,7,Quarterfinal loss
2013 - 2014,MODO Hockey,SHL,55,18,-,20,10,7,131,132,81,8,Eight final loss
2014 - 2015,MODO Hockey,SHL,55,12,-,30,4,9,127,176,53,12,Saved in relegation
2015 - 2016,MODO Hockey,SHL,-,-,-,-,-,-,-,-,-,-,-
