Year,Illinois,Indiana,Iowa,Michigan,Michigan State,Minnesota,Northwestern,Ohio State,Penn State,Purdue,Wisconsin
2008,3-5,1-7,5-3,2-6,6-2,3-5,5-3,7-1,7-1,2-6,3-5
2007,6-2,3-5,4-4,6-2,3-5,0-8,3-5,7-1,4-4,3-5,5-3
2006,1-7,3-5,2-6,7-1,1-7,3-5,2-6,8-0,5-3,5-3,7-1
2005,0-8,1-7,5-3,5-3,2-6,4-4,5-3,7-1,7-1,3-5,5-3
2004,1-7,1-7,7-1,7-1,4-4,3-5,5-3,4-4,2-6,4-4,6-2
2003,0-8,1-7,5-3,7-1,5-3,5-3,4-4,6-2,1-7,6-2,4-4
2002,4-4,1-7,8-0,6-2,2-6,3-5,1-7,8-0,5-3,4-4,2-6
2001,7-1,4-4,4-4,6-2,3-5,2-6,2-6,5-3,4-4,4-4,3-5
2000,2-6,2-6,3-5,6-2,2-6,4-4,6-2,5-3,4-4,6-2,4-4
1999,4-4,3-5,0-8,6-2,6-2,5-3,1-7,3-5,5-3,4-4,7-1
1998,2-6,2-6,2-6,7-1,4-4,2-6,0-8,7-1,5-3,6-2,7-1
1997,0-8,1-7,4-4,8-0,4-4,1-7,3-5,6-2,6-2,6-2,5-3
1996,1-7,1-7,6-2,5-3,5-3,1-7,7-1,7-1,6-2,2-6,3-5
1995,3-4-1,0-8,4-4,5-3,4-3-1,1-7,8-0,7-1,5-3,2-5-1,3-4-1
