OPS,PA,Rk,ASG,3B
0.771,1889,38.0,0,6.0
0.659,295,28.0,0,1.0
0.599,16,50.0,0,1.0
 ,0,13.0,0,0.0
0.25,8,21.0,0,0.0
0.629,292,11.0,0,1.0
0.0,1,48.0,0,0.0
 ,0,25.0,0,0.0
0.381,23,6.0,0,0.0
0.734,51305, ,11,283.0
0.16,25,37.0,0,0.0
0.755,598,53.0,0,1.0
0.2,12,51.0,0,0.0
0.0,1,46.0,0,0.0
0.634,57,18.0,0,1.0
0.318,27,15.0,0,0.0
0.631,974,55.0,0,5.0
0.4,5,19.0,0,0.0
0.879,4374,47.0,4,20.0
0.79,3753,61.0,0,28.0
0.768,187,35.0,0,2.0
0.0,6,39.0,0,0.0
0.687,320,5.0,0,0.0
0.701,5705,14.0,2,20.0
0.699,145,43.0,0,0.0
0.434,50,12.0,0,0.0
