TS%,MP,G,DRtg,BLK%,GS,Age
.266,22:30,39,106,3.5,1,30-009
1.000,20:52,19,113,0.0,0,29-319
.568,15:24,29,88,0.0,0,29-348
 ,7:50,27,99,0.0,0,29-344
 ,4:31,45,107,0.0,0,30-024
 ,5:37,56,124,0.0,0,30-069
.000,10:58,60,110,0.0,0,30-076
.615,11:58,57,110,0.0,0,30-071
.425,27:13,40,101,3.1,1,30-011
.532,13:31,3,107,0.0,0,29-281
.868,4:58,2,110,0.0,0,29-280
.000,20:12,6,107,0.0,0,29-289
.714,20:30,42,92,12.8,1,30-014
 ,18:06,30,105,0.0,0,29-350
.500,6:19,12,91,0.0,0,29-302
 ,12:03,33,120,0.0,0,29-361
1.000,10:16,10,106,0.0,0,29-299
 ,4:19,25,102,0.0,0,29-336
 ,2:37,55,103,0.0,0,30-066
 ,7:13,5,79,9.2,0,29-285
.000,11:12,38,115,6.5,0,30-007
.000,6:39,37,121,0.0,0,30-004
.347,23:14,41,98,2.6,1,30-013
 ,7:47,18,112,0.0,0,29-316
 ,4:31,8,90,0.0,0,29-293
 ,2:47,52,106,0.0,0,30-057
 ,6:04,49,111,12.6,0,30-046
