Pitcher,Team,AB,H,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,OPS
Ryan Vogelsong,SF,36,12,1,1,1,4,1,2,0,0,0.333,0.351,0.5,0.851
Ian Kennedy,SD,23,4,1,1,0,1,2,6,0,0,0.174,0.24,0.304,0.544
Tim Lincecum,SF,21,3,0,1,0,2,1,5,0,0,0.143,0.182,0.238,0.42
Wade Miley,BOS,20,5,0,0,0,0,0,6,0,0,0.25,0.25,0.25,0.5
Jordan Zimmermann,WAS,18,5,0,1,0,1,0,2,0,0,0.278,0.278,0.389,0.667
Trevor Cahill,LA,17,7,2,0,0,1,3,1,0,0,0.412,0.5,0.529,1.029
Max Scherzer,WAS,17,6,1,0,1,2,0,1,0,0,0.353,0.353,0.588,0.941
Shelby Miller,ATL,16,5,1,0,0,0,0,2,0,0,0.313,0.313,0.375,0.688
Juan Nicasio,LA,15,4,0,1,0,0,0,4,0,0,0.267,0.267,0.4,0.667
Julio Teheran,ATL,14,5,0,0,0,1,0,1,0,0,0.357,0.357,0.357,0.714
Joe Saunders,SEA,14,3,0,0,0,1,0,0,0,1,0.214,0.214,0.214,0.429
Stephen Strasburg,WAS,14,3,1,0,0,0,0,2,0,0,0.214,0.214,0.286,0.5
Edinson Volquez,KC,14,3,0,0,0,1,1,6,0,0,0.214,0.25,0.214,0.464
Josh Collmenter,AZ,13,5,0,0,1,2,0,0,0,0,0.385,0.385,0.615,1.0
Kyle Kendrick,COL,13,4,0,0,0,0,0,0,0,0,0.308,0.357,0.308,0.665
Madison Bumgarner,SF,13,3,0,0,0,1,1,4,0,0,0.231,0.286,0.231,0.516
Mike Leake,SF,13,3,2,0,0,1,0,4,0,0,0.231,0.231,0.385,0.615
Yovani Gallardo,TEX,13,2,0,0,0,0,0,5,0,0,0.154,0.154,0.154,0.308
Bartolo Colon,NY-N,12,5,0,0,0,1,0,1,0,0,0.417,0.385,0.417,0.801
Carlos Martinez,STL,12,5,1,0,0,1,0,2,1,0,0.417,0.417,0.5,0.917
Johnny Cueto,KC,12,4,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667
Jhoulys Chacin,AZ,12,3,0,0,1,1,1,3,0,0,0.25,0.308,0.5,0.808
Cole Hamels,TEX,12,3,0,0,0,0,1,5,0,0,0.25,0.308,0.25,0.558
Tim Hudson,SF,12,3,1,0,0,1,0,3,0,0,0.25,0.25,0.333,0.583
Lance Lynn,STL,12,1,1,0,0,1,1,4,0,0,0.083,0.154,0.167,0.321
Chase Anderson,AZ,11,3,1,0,0,0,1,2,0,0,0.273,0.385,0.364,0.748
Tyson Ross,SD,11,3,0,0,0,1,2,7,0,0,0.273,0.385,0.273,0.657
Alex Wood,LA,11,3,0,0,0,2,0,1,0,0,0.273,0.273,0.273,0.545
Andrew Cashner,SD,11,2,0,0,0,0,1,3,0,0,0.182,0.25,0.182,0.432
Zack Greinke,LA,11,2,0,0,0,0,1,3,0,0,0.182,0.25,0.182,0.432
Cory Luebke,SD,11,2,0,0,0,1,0,3,1,0,0.182,0.182,0.182,0.364
Garrett Richards,ANA,10,5,1,0,0,1,1,3,0,0,0.5,0.545,0.6,1.145
Dillon Gee,NY-N,10,4,0,0,0,1,0,0,0,0,0.4,0.4,0.4,0.8
Matt Cain,SF,10,1,0,0,0,0,2,2,0,0,0.1,0.25,0.1,0.35
Dan Haren,CHI-N,10,0,0,0,0,0,0,2,1,0,0.0,0.0,0.0,0.0
Eddie Butler,COL,9,4,1,2,0,4,0,1,0,0,0.444,0.444,1.0,1.444
Daniel Hudson,AZ,9,4,1,0,0,1,0,0,0,0,0.444,0.444,0.556,1.0
Jacob Turner,CHI-N,9,4,1,0,0,1,0,0,0,0,0.444,0.444,0.556,1.0
Jerome Williams,PHI,9,4,0,0,0,0,1,1,0,0,0.444,0.5,0.444,0.944
Jeremy Affeldt,SF,9,3,1,0,0,2,0,1,0,0,0.333,0.333,0.444,0.778
Jorge De La Rosa,COL,9,3,0,0,0,0,1,2,0,0,0.333,0.4,0.333,0.733
Jacob deGrom,NY-N,9,3,0,0,0,0,0,3,0,0,0.333,0.333,0.333,0.667
Brandon McCarthy,LA,9,3,0,0,0,0,0,3,0,0,0.333,0.333,0.333,0.667
Aaron Harang,PHI,9,2,0,0,0,0,1,0,0,0,0.222,0.3,0.222,0.522
Kyle Hendricks,CHI-N,9,2,0,0,0,0,0,1,0,0,0.222,0.222,0.222,0.444
Cliff Lee,PHI,9,2,0,0,0,0,0,3,0,0,0.222,0.222,0.222,0.444
Jason Hammel,CHI-N,9,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0
Tom Koehler,MIA,8,3,0,0,0,0,1,0,0,0,0.375,0.444,0.375,0.819
Eric Stults,LA,8,3,1,0,0,3,0,1,0,0,0.375,0.375,0.5,0.875
Tony Watson,PIT,8,3,1,0,0,0,1,0,0,0,0.375,0.444,0.5,0.944
