HR,AB,G,GIDP,AVG,R
1,77,21,2,0.26,12
0,4,1,0,0.0,0
8,178,52,1,0.331,35
3,234,71,4,0.291,26
5,107,32,3,0.299,14
1,51,12,4,0.275,7
6,303,110,6,0.244,37
2,105,28,5,0.21,7
1,131,38,6,0.221,13
6,406,117,5,0.271,59
0,16,4,0,0.188,5
10,343,91,9,0.28,52
2,187,53,8,0.289,23
31,395,103,9,0.296,82
0,54,25,1,0.222,5
4,436,114,17,0.339,50
4,318,95,6,0.239,30
7,432,104,10,0.296,59
0,123,35,2,0.163,14
4,410,121,12,0.273,48
0,46,18,2,0.217,8
4,212,76,2,0.226,27
14,336,91,4,0.298,71
2,238,63,7,0.378,51
1,96,31,4,0.302,10
0,3,2,0,0.667,1
4,82,27,3,0.293,10
6,201,61,4,0.269,32
0,111,30,1,0.234,17
3,251,87,4,0.223,19
10,214,51,4,0.336,42
1,156,41,10,0.295,21
1,73,20,1,0.329,18
3,197,59,2,0.234,30
0,6,2,0,0.5,2
5,479,125,12,0.203,57
1,53,14,5,0.208,7
6,330,94,8,0.276,50
14,307,114,11,0.3,55
2,284,88,6,0.25,43
1,298,102,16,0.285,30
7,220,62,9,0.282,42
