Year,Team,League,G,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,OBP,SLG,AVG
2015,Arizona,NL,100,357,67,124,24,1,22,77,82,83,17,4,0.464,0.605,0.347
2014,Arizona,NL,109,406,75,122,39,1,19,69,64,110,9,3,0.396,0.542,0.3
2013,Arizona,NL,160,602,103,182,36,3,36,125,99,145,15,7,0.401,0.551,0.302
2012,Arizona,NL,145,514,82,147,43,1,20,82,60,130,18,3,0.359,0.49,0.286
2011,Arizona,NL,48,156,28,39,9,1,8,26,20,53,4,0,0.333,0.474,0.25
 ,Mobile,AA,103,366,84,112,21,3,30,94,82,92,9,3,0.435,0.626,0.306
2010,Visalia,A,138,525,102,165,42,3,35,108,57,161,5,1,0.384,0.606,0.314
2009,Missoula,R,74,287,51,96,27,3,18,62,36,74,4,3,0.408,0.638,0.334
NL,Total,NL,562,2035,355,614,151,7,105,379,325,521,63,17,0.396,0.538,0.302
AA,Total,AA,103,366,84,112,21,3,30,94,82,92,9,3,0.435,0.626,0.306
A,Total,A,138,525,102,165,42,3,35,108,57,161,5,1,0.384,0.606,0.314
R,Total,R,74,287,51,96,27,3,18,62,36,74,4,3,0.408,0.638,0.334
