H,G,Team,SO
5,5,FRI,4
15,24,MID,11
54,63,WIC,25
26,24,CC,14
82,93,FRI,95
141,123,ARK,105
0,3,SPR,2
67,83,TUL,66
3,5,WIC,4
1,3,TUL,0
0,12,CC,0
35,60,CC,33
0,2,CC,0
10,15,SA,4
4,3,FRI,1
93,91,FRI,56
32,50,WIC,40
57,60,ARK,37
123,112,CC,36
1,4,CC,1
0,10,SPR,1
22,32,SPR,7
43,28,MID,23
31,45,CC,34
32,27,CC,6
1,19,TUL,2
27,25,FRI,8
114,107,SA,66
28,39,FRI,22
64,50,MID,39
33,42,SA,28
118,129,SPR,98
89,96,FRI,93
27,24,MID,9
1,8,SPR,3
25,35,ARK,46
0,3,TUL,1
41,55,FRI,43
0,17,TUL,0
39,74,CC,28
72,92,TUL,60
2,5,SPR,6
166,138,WIC,96
73,93,ARK,81
11,12,MID,12
46,42,FRI,32
103,110,SA,91
13,10,SPR,6
148,137,WIC,112
0,1,CC,1
123,97,CC,44
1,4,SA,4
1,1,CC,0
26,39,CC,43
0,2,SPR,0
0,2,CC,1
3,10,TUL,3
12,19,FRI,11
107,99,MID,50
57,48,FRI,36
105,115,SA,74
22,25,FRI,9
30,40,SPR,41
81,73,ARK,77
0,1,MID,0
33,31,SA,25
91,94,WIC,65
1,2,WIC,1
96,95,CC,44
52,49,FRI,24
0,6,SPR,0
1,2,SA,1
22,32,CC,15
3,1,SPR,0
75,66,SPR,48
142,132,TUL,134
2,3,WIC,1
5,5,MID,4
135,127,FRI,110
27,23,TUL,6
0,1,WIC,0
0,3,SPR,2
0,20,TUL,1
114,120,SPR,59
44,40,SA,23
1,11,TUL,4
4,7,MID,3
7,17,SPR,15
13,20,SPR,20
82,92,TUL,77
52,45,MID,25
3,8,TUL,3
0,11,TUL,0
112,117,TUL,86
65,54,FRI,47
82,85,SPR,80
50,44,TUL,26
67,59,FRI,25
31,48,MID,45
109,118,MID,95
0,4,SPR,0
12,23,SA,9
138,121,SPR,114
140,136,MID,98
0,3,TUL,4
18,23,SPR,7
0,1,WIC,0
153,133,WIC,63
132,120,FRI,85
105,115,TUL,64
119,118,ARK,54
30,47,SPR,26
0,3,CC,3
0,1,SPR,0
0,11,CC,0
2,2,MID,0
1,15,SPR,2
3,6,TUL,3
23,18,ARK,18
0,17,SPR,0
39,63,SPR,60
40,45,SA,54
71,79,SA,57
0,4,CC,2
3,8,ARK,9
0,1,MID,0
57,65,SPR,52
32,42,SA,33
8,21,MID,5
