Date,Tm,TOV%,GmSc,GS,eFG%
1990-02-18,PHO,33.3,3.3,0,.500
1990-03-16,PHO,0.0,10.4,0,.250
1990-03-10,PHO,25.8,3.6,0,1.000
1990-02-13,PHO,7.7,14.1,0,.625
1990-02-04,PHO,9.0,14.9,0,.571
1989-12-26,PHO,66.7,6.1,0,1.000
1990-02-22,PHO,0.0,4.9,0,.500
1989-12-29,PHO,15.8,4.3,0,.500
1990-04-07,PHO,50.0,5.3,0,1.000
1990-02-20,PHO,0.0,7.3,0,1.000
1990-01-28,PHO, ,0.6,0, 
1990-01-13,PHO,0.0,6.3,0,1.000
1990-01-20,PHO,20.0,2.8,0,.500
1990-03-24,PHO,0.0,5.8,0,1.000
1989-11-22,PHO, ,-0.1,0, 
1989-12-07,PHO,0.0,-1.5,0,.000
1990-02-16,PHO,0.0,5.4,0,1.000
1990-03-27,PHO,100.0,-2.6,0, 
1989-11-10,PHO,33.3,3.6,0,1.000
1990-01-15,PHO,33.3,-1.1,0,.000
1990-03-07,PHO,23.1,4.9,0,1.000
1989-12-15,PHO,0.0,4.2,0,.333
1989-11-07,PHO,0.0,3.3,0,1.000
1990-03-19,PHO,41.0,-0.3,0,.500
1990-03-06,PHO,0.0,7.3,0,1.000
1990-01-23,PHO,0.0,3.1,0,1.000
1990-03-30,PHO,20.5,6.9,0,.667
1989-12-12,PHO,0.0,5.7,0,.333
1990-03-14,PHO,66.7,3.0,0,1.000
1990-01-26,PHO,0.0,2.9,0,1.000
1990-03-23,PHO,0.0,3.9,0,.000
1989-12-22,PHO, ,0.7,0, 
