G,TS%,MP,TOV%,GS,USG%,AST%,DRtg
57,.000,7:00,0.0,0,6.5,0.0,102
17,.532,8:00,0.0,0,9.8,16.7,110
55,.735,14:00,0.0,0,18.0,13.6,112
7,.500,19:00,33.3,0,14.8,17.5,94
61,.333,13:00,0.0,0,9.8,0.0,120
6,.564,19:00,0.0,0,12.2,0.0,131
9,.333,22:00,25.0,1,8.6,11.9,129
36,.500,20:00,20.0,0,11.0,6.6,92
27, ,3:00, ,0,0.0,0.0,106
46,.000,25:00,0.0,0,3.6,0.0,109
31,.500,9:00,0.0,0,18.6,0.0,100
26, ,4:00, ,0,0.0,0.0,116
5,.000,21:00,20.0,0,9.6,6.2,110
4,.850,28:00,0.0,0,14.9,11.3,99
16,.906,12:00,26.6,0,13.7,0.0,104
2,.500,15:00,20.0,0,13.8,8.7,104
8,1.136,19:00,53.2,1,4.3,0.0,100
50,.820,23:00,29.1,1,12.8,6.6,110
53,.500,24:00,14.3,1,14.5,0.0,96
43,.500,19:00,0.0,0,8.8,18.8,104
58,.500,7:00,0.0,0,11.7,20.7,141
32,.000,12:00,0.0,0,7.4,0.0,106
29,.000,3:00,0.0,0,16.0,0.0,100
41,.500,33:00,0.0,0,11.1,5.2,95
11,.444,28:00,18.2,1,16.8,0.0,107
64,.000,16:00,0.0,0,8.9,8.3,110
12,.000,7:00,0.0,0,12.7,0.0,118
59, ,5:00, ,0,0.0,0.0,109
62,.000,2:00,0.0,0,16.7,0.0,116
65,.000,6:00,50.0,0,14.9,0.0,117
52,.500,20:00,50.0,1,8.9,0.0,103
