ORB%,ORtg,TOV%,AST%,MP,USG%,GS,Opp,Rk
0.0,76,0.0,0.0,3:00,38.4,0,MIN,50
10.4,116,28.6,40.7,14:00,21.9,0,PHO,18
0.0,99,25.4,26.0,17:00,18.0,0,WSB,41
0.0,0,0.0,0.0,3:00,27.5,0,NYK,36
15.9,85,0.0,30.5,7:00,18.6,0,NYK,43
0.0,75,25.8,14.6,16:00,28.3,0,NJN,16
6.8,137,33.3,39.0,19:00,13.1,0,CLE,15
0.0,67,0.0,21.6,6:00,27.4,0,WSB,31
0.0,57,26.6,0.0,5:00,29.8,0,ORL,45
0.0,47,0.0,30.0,4:00,11.3,0,LAL,22
0.0,133,20.5,18.8,20:00,19.3,0,PHI,35
0.0,156,0.0,26.1,19:00,4.0,0,WSB,17
0.0,0,100.0,0.0,5:00,7.4,0,PHI,49
0.0,0,0.0,0.0,5:00,16.0,0,IND,27
15.2,69,28.7,46.2,15:00,25.3,0,BOS,47
0.0,250,0.0,0.0,6:00,6.6,0,SEA,21
19.6,61,0.0,0.0,5:00,8.2,0,DET,46
0.0,70,0.0,35.3,8:00,9.4,0,ORL,34
0.0,0,100.0,0.0,1:00,47.9,0,DET,40
0.0,205, ,100.0,1:00,0.0,0,GSW,25
10.9,124,0.0,12.2,10:00,16.3,0,ATL,39
4.8,108,11.1,28.7,20:00,17.4,0,UTA,12
0.0,115,0.0,0.0,7:00,11.7,0,POR,9
0.0,100,22.5,17.6,18:00,20.1,0,DET,13
0.0,200,0.0,34.1,10:00,4.5,0,ORL,42
0.0,34,33.3,0.0,7:00,32.8,0,SEA,29
8.3,81,0.0,21.0,21:00,17.6,0,POR,20
