Date,Opponent,Score,tack,ast,tot,sack,lost,tfl,yds,ff,fr,td,int,brup,blk,saf
Aug 29,Cumberland (Tenn.),"W, 63-7",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Sep 7,at Wisconsin,"L, 48-0",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sep 14,at Hampton,"W, 30-27",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Sep 21,Tennessee State,"L, 41-21",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Sep 28,Indiana St.,"W, 38-37",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Oct 5,at Murray State,"L, 35-24",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Oct 10,UT Martin,"L, 28-17",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Oct 19,at Eastern Kentucky,"L, 24-10",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Oct 26,Jacksonville State,"L, 34-14",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Nov 2,at Eastern Illinois,"L, 56-21",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Nov 9,at Southeast Missouri,"W, 41-16",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Nov 23,Austin Peay,"W, 34-0",0,1,1,-,-,0,0,-,-,0,1,-,-,-
