TS%,DRB%,G,ORtg,MP,AST%,ORB%,Date
.250,0.0,29,43,11:00,0.0,0.0,1986-01-17
.667,0.0,61,97,18:00,0.0,6.3,1986-03-26
.167,12.0,44,57,19:00,27.0,5.6,1986-02-21
.000,0.0,40,0,4:00,0.0,0.0,1986-02-13
.735,5.7,47,173,22:00,38.9,0.0,1986-02-27
.333,0.0,64,88,14:00,0.0,8.6,1986-03-30
.732,0.0,42,104,13:00,0.0,0.0,1986-02-17
.509,26.4,69,75,33:00,11.6,0.0,1986-04-10
1.000,0.0,12,118,4:00,0.0,0.0,1985-11-26
.511,0.0,54,113,24:00,7.1,0.0,1986-03-13
.699,10.4,55,121,28:00,4.4,4.9,1986-03-16
.515,9.1,43,90,11:00,0.0,0.0,1986-02-19
.250,24.2,9,74,11:00,12.2,0.0,1985-11-20
.500,0.0,59,78,10:00,0.0,13.3,1986-03-23
.658,0.0,56,87,17:00,0.0,0.0,1986-03-18
.931,0.0,62,192,16:00,0.0,0.0,1986-03-27
.000,0.0,3,0,4:00,0.0,0.0,1985-10-31
.000,0.0,34,0,7:00,0.0,0.0,1986-01-28
 ,0.0,5, ,1:00,0.0,0.0,1985-11-08
.450,0.0,2,95,9:00,23.2,12.7,1985-10-29
.190,0.0,15,42,11:00,13.4,0.0,1985-12-10
