SEASON,TEAM,LEAGUE,GP,W,T,L,OTW,OTL,GF,GA,TP,RANK,POSTSEASON
2010 - 2011,Löwen Frankfurt,Germany4,24,21,-,3,-,-,143,59,63,1,-
2011 - 2012,Löwen Frankfurt,Germany3,22,13,-,8,0,1,112,67,40,5,-
 ,Löwen Frankfurt,Germany3,14,6,-,8,0,0,54,51,18,5,-
2012 - 2013,Löwen Frankfurt,Germany3,22,17,-,0,3,2,236,32,59,2,-
 ,Löwen Frankfurt,Germany3,14,11,-,0,1,2,97,27,37,2,-
 ,Löwen Frankfurt,Germany3,6,4,-,1,1,0,40,9,14,2,Semifinal loss
2013 - 2014,Löwen Frankfurt,Germany3,18,17,-,0,1,0,165,35,53,1,-
 ,Löwen Frankfurt,Germany3,20,19,-,0,1,0,125,30,59,1,-
 ,Löwen Frankfurt,Germany3,10,10,-,0,0,0,91,9,30,1,-
 ,Löwen Frankfurt,DEL2,10,5,-,3,1,1,31,21,18,3,Promoted
2014 - 2015,Löwen Frankfurt,DEL2,52,28,-,17,3,4,211,153,94,4,Semifinal loss
2015 - 2016,Löwen Frankfurt,DEL2,-,-,-,-,-,-,-,-,-,-,-
