Age,USG%,TRB%,GS,eFG%,BLK%
26-087,20.2,3.5,0,.625,3.6
26-059,23.3,25.2,0,.143,0.0
26-054,7.7,0.0,0, ,0.0
26-056,0.0,15.2,0, ,0.0
26-047,15.7,14.1,0,.667,2.8
26-032,10.9,23.3,0,.250,0.0
26-010,19.3,20.6,0,.400,0.0
26-082,21.0,0.0,0,1.000,0.0
26-040,12.8,7.3,0,.200,4.9
25-336,8.4,14.5,0,.500,0.0
26-070,21.8,0.0,0,.000,0.0
25-345,10.6,14.2,1, ,20.5
26-039,16.4,18.6,0,.500,0.0
26-002,6.5,13.7,0,.667,3.9
26-063,19.1,17.7,1,.400,6.3
26-042,10.7,9.3,0,.000,0.0
26-080,18.9,14.4,0,.500,0.0
26-090,13.8,15.1,0,.444,0.0
26-008,17.1,37.8,0, ,0.0
26-078,11.1,25.6,0,.667,0.0
26-045,6.2,11.5,0,.000,3.3
26-024,8.6,13.6,0,.000,3.7
25-337,64.2,22.4,0,.500,0.0
25-342,13.6,5.3,0,.333,7.6
26-077,32.3,18.7,0,.250,0.0
26-050,14.3,18.6,0,.000,0.0
26-023,49.6,28.3,0,.000,0.0
26-022,14.8,15.6,0,.250,0.0
26-007,6.0,7.8,0,.000,0.0
26-068,13.9,13.5,1,.200,0.0
25-359,10.8,11.9,0,.500,0.0
