Name,G,IP,W,L,Pct.,H,R,ER,SO,BB,GS,CG,ShO,Sv,ERA
"Cardwell, Don",10,67.2,3,6,0.333,57,33,26,41,17,10,2,2,0,3.46
"Denehy, Bill",13,50.2,1,7,0.125,48,38,28,35,27,8,0,0,0,4.97
"Estrada, Chuck",9,22.0,1,2,0.333,28,24,23,15,17,2,0,0,0,9.41
"Fisher, Jack",16,88.2,4,7,0.364,98,50,46,46,31,12,2,0,0,4.67
"Hamilton, Jack",17,31.1,2,0,1.0,24,15,13,22,16,1,0,0,0,3.73
"Hendley, Bob",2,2.2,0,1,0.0,4,3,3,3,3,1,0,0,0,10.13
"Koosman, Jerry",5,9.1,0,0,0.0,9,7,5,3,8,0,0,0,0,4.82
"Lamabe, Jack",11,19.2,0,1,0.0,17,11,10,15,5,1,0,0,0,4.58
"Seaver, Tom",13,95.2,5,4,0.556,86,31,27,57,26,13,7,0,0,2.54
"Selma, Dick",5,19.0,0,0,0.0,16,6,6,13,7,2,0,0,0,2.84
"Shaw, Bob",16,59.2,2,5,0.286,62,31,25,33,18,8,2,1,0,3.77
"Shaw, Don",22,23.0,2,3,0.4,15,10,9,20,10,0,0,0,0,3.52
"Taylor, Ron",15,21.2,0,2,0.0,20,11,11,13,11,0,0,0,0,4.57
"Terry, Ralph",2,3.1,0,0,0.0,1,0,0,5,0,0,0,0,0,0.0
"Willhite, Nick",3,7.0,0,1,0.0,7,6,6,8,3,1,0,0,0,7.71
