Rk,G,Date,Age,Tm,Opp,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
1,1,2009-11-06,30-339,ATL,CHA,0,3:46,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,25.5,0,124,-1.7
2,2,2009-11-07,30-340,ATL,DEN,0,2:16,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6,0,114,-0.7
3,3,2009-11-13,30-346,ATL,BOS,0,1:11, , ,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0, ,105,0.0
4,4,2009-12-02,31-000,ATL,TOR,0,6:47,.000,.000,19.7,16.1,17.7,27.2,0.0,0.0,33.3,18.6,71,119,-1.6
5,5,2009-12-09,31-007,ATL,CHI,0,6:46,.347,.500,0.0,0.0,0.0,19.2,0.0,0.0,0.0,18.9,83,101,0.1
6,6,2009-12-11,31-009,ATL,TOR,0,1:45,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.5,0,107,-1.1
7,7,2009-12-13,31-011,ATL,NJN,0,3:13,1.000,1.000,0.0,0.0,0.0,0.0,0.0,19.4,0.0,12.8,200,99,2.4
8,8,2009-12-22,31-020,ATL,MIN,0,3:00, , ,0.0,38.1,18.6,0.0,0.0,0.0, ,0.0, ,89,0.3
9,9,2009-12-30,31-028,ATL,CLE,0,10:42, , ,10.4,10.7,10.6,11.2,0.0,7.7, ,0.0,219,118,2.0
10,10,2010-01-04,31-033,ATL,MIA,0,3:01, , ,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0, ,118,0.0
11,11,2010-01-06,31-035,ATL,NJN,0,4:14, , ,0.0,0.0,0.0,0.0,12.5,0.0, ,0.0, ,81,0.6
12,12,2010-01-09,31-038,ATL,ORL,0,4:27,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,0,129,-1.1
13,13,2010-01-13,31-042,ATL,WAS,0,4:14, , ,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0, ,109,-0.4
14,14,2010-01-15,31-044,ATL,PHO,0,0:31, , ,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0, ,120,0.0
15,15,2010-01-30,31-059,ATL,ORL,0,5:28, , ,20.9,0.0,11.4,0.0,9.8,0.0,100.0,8.9,55,99,-0.9
16,16,2010-02-09,31-069,ATL,MEM,0,8:12,.000,.000,0.0,15.8,8.5,0.0,0.0,0.0,0.0,5.9,0,114,-0.8
17,17,2010-02-10,31-070,ATL,MIA,0,3:51, , ,0.0,0.0,0.0,0.0,0.0,0.0,100.0,12.9,0,123,-1.8
18,18,2010-02-17,31-077,ATL,LAC,0,1:13, , ,0.0,0.0,0.0,0.0,42.9,0.0, ,0.0, ,20,1.0
19,19,2010-02-19,31-079,ATL,PHO,0,1:28,.000,.000,72.7,0.0,38.1,0.0,0.0,0.0,0.0,64.2,31,109,-0.7
20,20,2010-03-03,31-091,ATL,PHI,0,4:02, , ,0.0,59.5,30.1,0.0,0.0,0.0, ,0.0, ,98,0.6
21,21,2010-03-16,31-104,ATL,NJN,0,4:29, , ,0.0,0.0,0.0,0.0,0.0,0.0,100.0,10.4,0,102,-1.4
22,22,2010-03-28,31-116,ATL,IND,0,3:06,.000,.000,35.2,32.3,33.7,0.0,0.0,0.0,0.0,14.9,61,93,0.3
23,23,2010-03-31,31-119,ATL,LAL,0,1:49,1.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.9,200,118,1.7
24,24,2010-04-14,31-133,ATL,CLE,0,25:12,.556,.556,0.0,9.1,4.9,0.0,0.0,0.0,0.0,16.4,113,96,5.5
