POS,SLG,OPS,SH,CS,BB,AB,AVG,SF
3B,0.333,0.667,0,0,5,54,0.259,0
C,0.091,0.258,2,0,2,22,0.091,0
SS,0.4,0.744,3,4,18,195,0.272,3
C,0.386,0.661,0,0,12,267,0.243,3
SS,0.0,0.25,0,0,0,3,0.0,0
C,0.219,0.454,1,0,2,32,0.188,0
2B,0.337,0.675,1,0,40,377,0.249,1
2B,0.25,0.551,2,3,19,116,0.19,1
1B,0.314,0.633,0,2,39,315,0.225,2
3B,0.145,0.339,0,0,5,62,0.129,0
SS,0.33,0.634,0,4,25,315,0.241,4
2B,0.528,0.954,1,4,39,195,0.303,0
1B,0.38,0.714,0,0,18,163,0.264,2
C,0.333,0.933,0,0,2,3,0.333,0
C,0.365,0.667,0,0,16,115,0.165,1
SS,0.274,0.519,3,1,17,168,0.161,4
SS,0.357,0.668,1,5,40,485,0.252,4
C,0.2,0.476,2,0,3,25,0.16,0
3B,0.341,0.626,0,1,10,229,0.245,2
SS,0.428,0.802,5,5,44,435,0.292,5
SS,0.427,0.811,0,0,27,234,0.291,1
SS,0.295,0.609,2,2,5,61,0.262,1
1B,0.289,0.573,0,0,1,76,0.237,0
3B,0.552,0.907,0,1,37,478,0.295,3
3B,0.422,0.769,1,1,42,386,0.277,5
3B,0.332,0.664,0,3,34,277,0.242,3
1B,0.475,0.865,0,0,22,122,0.27,2
C,0.382,0.75,0,1,55,427,0.286,7
SS,0.38,0.7,1,7,19,237,0.253,1
C,0.292,0.616,3,0,20,120,0.2,0
C,0.302,0.573,0,0,6,86,0.186,0
2B,0.416,0.771,3,6,16,317,0.322,2
C,0.0,0.0,0,0,0,6,0.0,0
C,0.256,0.514,0,0,12,133,0.188,1
SS,0.373,0.703,4,5,25,324,0.269,3
3B,0.304,0.626,0,0,5,23,0.174,0
C,0.43,0.819,0,0,33,179,0.263,0
1B,0.523,0.874,0,1,18,193,0.29,2
1B,0.31,0.598,4,0,30,197,0.178,1
SS,0.412,0.75,2,8,36,379,0.272,2
1B,0.39,0.715,0,0,4,77,0.286,1
C,0.6,1.2,0,0,0,5,0.6,0
1B,0.568,0.966,0,1,29,308,0.318,3
2B,0.225,0.443,1,1,8,160,0.175,1
1B,0.317,0.526,0,0,1,41,0.195,1
SS,0.413,0.828,4,5,47,247,0.304,7
2B,0.206,0.422,0,0,2,34,0.176,1
C,0.0,0.333,0,0,2,4,0.0,0
2B,0.544,1.006,1,0,28,160,0.338,2
C,0.191,0.375,1,0,0,47,0.149,0
3B,0.2,0.432,0,0,6,75,0.16,0
SS,0.13,0.315,0,0,7,69,0.101,0
C,0.313,0.646,1,1,2,16,0.25,0
C,0.321,0.619,1,0,2,53,0.283,2
2B,0.308,0.655,1,1,20,117,0.214,2
1B,0.395,0.692,0,0,17,172,0.221,1
SS,0.554,0.948,1,2,36,231,0.286,1
2B,0.211,0.586,0,0,4,19,0.211,0
1B,0.476,0.834,1,2,35,313,0.249,5
SS,0.302,0.591,1,1,9,63,0.175,2
SS,0.307,0.587,6,4,29,336,0.214,3
C,0.326,0.654,5,1,37,322,0.239,1
C,0.238,0.387,0,1,4,80,0.088,1
C,0.315,0.621,0,0,6,54,0.241,2
SS,0.47,0.828,2,2,14,198,0.313,0
C,0.469,0.867,0,1,35,441,0.331,11
