AST%,DRB%,BLK%,USG%,Age,Rk,GS,eFG%
15.2,0.0,3.1,10.0,23-088,52,0,.750
0.0,0.0,0.0,35.6,23-093,54,0,.286
0.0,15.8,0.0,19.9,23-082,49,0,.600
0.0,0.0,0.0,9.7,22-344,20,0,.000
0.0,0.0,0.0,54.5,23-042,32,0,.750
12.6,0.0,0.0,17.5,23-087,51,0,.250
0.0,0.0,3.7,21.6,22-322,10,0,.500
16.7,0.0,3.5,18.6,23-094,55,0,.500
0.0,0.0,0.0,0.0,23-040,31,0, 
0.0,8.0,0.0,20.6,23-105,60,0,.600
0.0,0.0,8.5,24.1,22-352,24,0,.250
0.0,0.0,0.0,39.6,23-018,26,0,.000
0.0,8.6,0.0,23.5,23-091,53,0,.250
54.5,0.0,0.0,41.3,23-052,35,0,.571
0.0,13.6,5.9,22.0,22-313,6,0,.500
36.4,22.2,0.0,62.6,23-038,30,0,.200
0.0,0.0,0.0,19.6,23-066,41,0,1.000
15.4,11.3,12.0,9.0,22-307,3,0,.500
0.0,17.4,0.0,38.8,23-098,57,0,.333
0.0,0.0,0.0,40.2,23-033,29,0,.000
0.0,34.3,0.0,24.5,23-061,38,0,1.000
38.4,7.3,0.0,27.1,22-312,5,0,.429
54.9,46.8,0.0,16.5,22-326,12,0,.000
0.0,0.0,0.0,38.0,23-016,25,0,1.000
0.0,28.8,0.0,24.7,23-074,45,0,.500
